Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
Attica,,,,,03/12/2010,CAA handlign domestic distribution rights,,,,,,,Doug Liman (Mr. and Mrs. Smith),,Geoffrey Fletcher (Precious),,,,,,,,"An insider's view of the 1971 Attica state prison rebellion, the film will chronicle the bloodiest prison riot in US history - an event that captivated the nation over the course of the 4 day standoff - and the controversy that followed",,,,,,,,,,
against all enemies,,In Development,,,04/18/2010,Capitol Films,,,,,,Drama,Robert Redford,,"Richard Clarke (book), James Vanderbilt",Steve,"John Calley, Tracy Falco",04/18/2010,Bruce Willis,,Coverage,,An adaptation of Richard Clarke's book about the Bush administration's failure to heed warnings about Al Qaeda's planned attack on the United States.,,,,,,,,###############################################################################################################################################################################################################################################################,,againstallenemies.doc
black water transit,,Complete,,,04/19/2010,Capitol Films,,,,,,Crime/Drama,Tony Kaye,$23Mil (est),"Matthew Chapman, Carsten Stroud (book)",steve,"Michael Cerenzie, Christopher Eberts, Kia Jam, Paul Parmar, Arnold Rifkin",04/19/2010,"Laurence Fishburne, Karl Urban, Brittany Snow, Beverly D'Angelo, Stephen Dorff, Aisha Tyler, Evan Ross",,Coverage,,"Story follows the divergent agendas of criminals, cops and lawyers as they collide over a shipment of illegal firearms and a double homicide. Earl Pike, a criminal, tries to get his family's illegal gun collection to a safe haven.",,,,,,,,,,blackwatertransit.doc
blackout,,Complete,,,04/19/2010,Capitol Films,,,,,,Horror/Thriller,Rigoberto Castaneda,,Ed Dougherty,steve,Valerio Morabito,04/19/2010,"Amber Tamblyn, Aidan Gillen",,Coverage,,Three people from different walks of life find themselves trapped inside a stalled elevator. What at first seems like an inconvenience rapidly escalates into a nightmare. ,,,,,,,,###############################################################################################################################################################################################################################################################,,blackout.doc
Apart Together ,,Complete,,,,Celluloid Dreams,,,,,,Drama,Wang Quanan,,Wang Quanan,,,04/28/2010,"Lisa Lu, Ling Feng",,,,###############################################################################################################################################################################################################################################################,Very small (MW),Cannes 2010,,,,,,,,
Blank City,,Complete,,,,Celluloid Dreams,,,,,,Documentary,Celine Danhier,,,,,04/28/2010,,,,,###############################################################################################################################################################################################################################################################,Doc about underground music and film scene in NY. Too long (MW),Cannes 2010,,,,,,,,
broken english,,Complete,,,04/19/2010,Celluloid Dreams,,,,,,comedy/drama/romance,Zoe Cassavetes,$2Mil (est),Zoe Cassavetes,steve,"Andrew Fierberg, Jason Kliot, Joana Vicente",04/19/2010,"Parker Posey, Drea de Matteo, Tim Guinee, Gena Rowlands, Peter Bogdanovich",,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,,brokenenglish.doc
Crazy Horse,,Post-Production,,,,Celluloid Dreams,,,,,,Documentary,Fredercik Wiseman,,,,"Frederick Wiseman, Pierre-Olivier Bardet",04/28/2010,,,,,"This legendary Parisian cabaret club, founded in 1951 by Alain Bernardin, has over the years become the Parisian nightlife must-see, ranking alongside the Eiffel Tower and the Louvre as a favorite destination for visitors.",,Cannes 2010,,,,,FR: Sophie Dulac,,,
Dolphin: The Story of a Dreamer,,Complete,,,,Celluloid Dreams,,,,,,Animation,Sergio Bambaren,,Sergio Bambaren,,,04/28/2010,,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
"If I Want To Whistle, I Whistle",,Complete,,,,Celluloid Dreams,,,,,,Thriller,Florin Serban,,,,,04/28/2010,"George Pi_tereanu, Ada Condeescu, Clara Vod_, Mihai Constantin",,,,###############################################################################################################################################################################################################################################################,"Romania/Sweden. Screened by Laurence and Laure.  Very talented, difficult to release. Pim has Blx (MW)",Cannes 2010 ,,,,,,,,
Jack Goes Boating,,Complete,,,,Celluloid Dreams,,,,,,Comedy Romance,Philip Seymour Hoffman,,Bob Glaudini,,Producers of Little Miss Sunshine,04/28/2010,"Philip Seymour Hoffman, Amy Ryan, John Ortiz",,,,A troubled cab driver feels awkard on dates and goes out with a friend of his best friend's; and resolves to learn how to boat to take her on a date the next summer,Overture acquired US rights in Sundance,Cannes 2010,,,,,,,,
Lebanon,,Complete,,,,Celluloid Dreams,,,,,,Drama,Samuel Maoz,$2 Mil.,Samuel Maoz,,"Uri Sabag, Benjamina Mirnik, Ilann Girard",04/28/2010,"Yoav Donat, Itay Tiran, Yousef Sweid, Michael Moshonov",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,,,,,,,,
Mao's Last Dancer,,Complete,,,,Celluloid Dreams,,,,,,Drama,Bruce Beresford,,Jan Sardi,,Jane Scott,04/28/2010,"Bruce Greenwood, Chi Cao, Kyle Maclachlin, Joan Chen",,,,"A drama based on the autobiography by Li Cunxin. At the age of 11, Li was plucked from a poor Chinese…",,Cannes 2010 ,Fri 14th 11:45@STAR 1,,,,,,,
Our life (La nostra vita),,Complete,,,04/19/2010,Celluloid Dreams,,,,,,Comedy,Daniele Luchetti,,"Daniele Luchetti, Sandro Petraglia, Stefano Rulli",,,05/06/2010,"Elio Germano, Isabella Ragonese, Raoul Bova",,,,###############################################################################################################################################################################################################################################################,Cineart screened it,Cannes 2010 Competition,Thu 20 - 11.15 & 22.30 @Lumiere               Fri 21 - 14.30 @60th   ,,,,"FR: Ad Vitam, IT: 01",,,
outrage,,Complete,,,04/19/2010,Celluloid Dreams,,,,,,Crime Thriller,Takeshi Kitano,,Takeshi Kitano,,,05/06/2010,"Beat Takeshi, Kippei Shina, Ryo Kase",,,,###############################################################################################################################################################################################################################################################,"(Wallie)  - Pass.  Revenge, revenge, blood.  No humor. Not good.",Cannes 2010 Competition,Mon 17 - 12.00 & 22.30 @Lumiere                                               Wed 19 - 21.30 @Bunuel,,Festival Wrap Up,,FR: Metro,,,
Poulet aux prunes (aka Waiting for Azrael),,Pre-Production,,,,Celluloid Dreams,Active,,,,,,"Marjane Satrapi, Vincent Paronnaud (""Persepolis"")",,,,,05/05/2010,"Mathieu Amalric, Chiara Mastroianni, Jamel Debbouze",Script,,,,"To be tracked. From Persepolis dir Marjane Satrapi, live action love story. Shoots this summer (MW)",Cannes 2010,,,,,FR: Le Pacte,
Revolucion,,Complete,,,,Celluloid Dreams,,,,,,Documentary,"CARLOS REYGADAS, GAEL GARCIA BERNAL, DIEGO LUNA, AMAT ESCALANTE, MARIANA CHENILLO, PATRICIA RIGGEN, GERARDO NARANJO, RODRIGO GARCIA, FERNANDO EIMBCKE, RODRIGO PLÀ",,,,,04/28/2010,,,,,Ten voices at the forefront of Mexican cinema join together to celebrate the Hundred anniversary of the Mexican revolution. This multi-faceted and impressionist compilation expresses the historical moment which still echoes in today’s society.,2 are good but doesn’t make it for distribution (AE),Cannes 2010,,,,,,
"secret of kells, the",,Complete,,,05/01/2010,Celluloid Dreams,,,,,,,Tomm Moore,,,,,05/01/2010,,,,,"Danger awaits young Brendan, and he must fight vikings and a serpent god to find a crystal and complete the legendary Irish Book of Kells.",Nominated for Oscar - Best Animated Feature,Cannes 2010,,,,,,
We Are the Night,,Post-Production,,,,Celluloid Dreams,,,,,,Horror,Dennis Gansel,,Dennis Gansel,Will Ulmer,,04/28/2010,"Nina Hoss, Jennifer Ulrich, Karoline Herfurth",,Coverage,,###############################################################################################################################################################################################################################################################,I dont think its an urgent prebuy / from director of THE WAVE - full coverage later. (SM),Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################
you'll never know why,,Pre-Production,,,,Celluloid Dreams,,,,,,Thriller,,,Limosin Jean Pierre,Steve Murphy,,05/07/2010,,Script,,,More details on the project to follow in Cannes.,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################
Amphibious 3D,,Post-Production,,,,Celsius Entertainment,,,,,,Horror Thriller,Brian Yuzna,$10 Mil.,John Penney,,Brian Yuzna,04/21/2010,"Michael Pare, Janna Fassaert, Francis Magee",,,,"Marine biologist, Skylar Shane , hires an expat charter boat captain, Jack Bowman, to help her find prehistoric life form samples in the north Sumatran Sea.",,Cannes 2010,SUN 16 - 9:15 and 11:30 @ Olympia 1,,,,INDO: Queen ME: Italia BLX: Dutch FilmWorks,
crusade: a march through time,,Completed,,,,Celsius Entertainment,,,,,,"Adventure, Fantasy",Ben Sombogaart,Under $14Mil,,,,04/21/2010,"Emily Watson, Stephanie Leonidas, Michael Culkin, Benno Furmann, Joe Flynn",,,,###############################################################################################################################################################################################################################################################,US: Allumination,Cannes 2010 ,,,,,,
Down and Dirty Pictures ,,Pre-Production,,,,Celsius Entertainment,,,,,,Comedy,Kenneth Bowser,$6 Mil.,"Peter Biskind, Joshua James",,Kevin Frankes,04/21/2010,"Vincent D'Onofrio, Andy Serkis, Toby Jones, Michael Rsipoli, Elias Koteas, Matthew Perry, Bobby Cannavale, Hugh Dancy, Sally Hawkins",,,,"an energetic, obscenely funny, unique story about the mavericks who helped to create, mold, and
later reinvent the modern day independent film industry.",WME handling U.S.,Cannes 2010,,,,,,
FIVE HOURS FROM PARIS,,Completed,,,,Celsius Entertainment,,,,,,Romantic Drama,Leon Prudovsky,under $5Mil,"Erez Kav-El, Leonid Prudovsky",,"Haim Mecklberg, Estee Yacov-Mecklberg",04/21/2010,"Dror Keren, Elena Yaralova",,,,"Only 5 flight hours from Paris, in a working class suburb of Tel Aviv, two people meet.",,Cannes 2010,,,,,,
Freakonomics,,Completed,,,,Celsius Entertainment,,,,,,Documentary,"Morgan Spurlock, Eugene Jarecki, Alex Gibney, Heidi Ewing, Laura Pietras, Rachel Grady",$4 Mil.,"Steven D Levitt, Stephen Dubner",,"Chad  Troutwine, Seth Gordon, Morgan Spurlock",04/21/2010,,,,,Based on the NY times bestseller featuring a series of different segments of economic based bits including a segment indicating that abortion has cut down on inner city crime and another segment that compares the Ku Klux Klan to a real estate group ,###############################################################################################################################################################################################################################################################,Cannes 2010,"Mkt Premiere:
Wed 12 - 10:00 @ Palais K
Sun 16 - 9:30 @ Olympia 1
Tues 18 - 12:00 @ Palais K",,,,,
From Within,,Complete,,,,Celsius Entertainment,,,,,,Horror,Phedon Papamichael,$10 Mil.,Brad Keene,,"Adrian Butch, Chris Gibbin",04/21/2010,"Thomas Dekker, Adam Goldberg, Elizabeth Rice, Jared Harris",,,,The small serene community of Grovetown is shaken by the dual suicide of a young couple. ,,Cannes 2010,,,,,,
manda bala (send a bullet),,Completed,,,,Celsius Entertainment,,,,,,Documentary,Jason Kohn,Under $5Mil,,,"Jared Ian Godman, Joey Frank",04/21/2010,,,,,###############################################################################################################################################################################################################################################################,US: City Lights / Sundance Channel,Cannes 2010,,,,,,
Untitled Iraqi Convey Project,,,,,03/03/2010,Cherry Road Films,,Tommaso Fiacchino <tom@cherryroadfilms.com>,,,Script,,Joshua Marston (Maria Full of Grace),,Joshua Marston,,,,Liev Schreiber ,,,,###############################################################################################################################################################################################################################################################,,,,,,,,
all together now,,Completed,,,,Cinema Management Group,,,,,,Documentary,Adrian Wills,,,,,04/20/2010,"Sir Paul McCartney, Ringo Starr, Yoko Ono Lennon, Olivia Harrison, Sir George Martin, Giles Martine, Guy Laliberte, Dominic Champagne",,,,"The story behind the unique partnership between The Beatles and Cirque du Soleil that resulted in the Las Vegas stage production of ""Love.""",Soundtrack by The Beatles.  Only TV rights only,Cannes 2010,,,,,,
AN UNLIKELY WEAPON,,Completed,,,,Cinema Management Group,,,,,,Documentary,,,,,,04/20/2010,"Narrated by Kiefer Sutherland, Sigourney Weaver, Peter Jennings, Tom Brokaw, Pres. Bill Clinton, Christie Brinkley, Kevin Kline...",,,,Follows Eddie Adam's life from a small town newspaper to the Associated Press. From war photography to celebrity photography. From Penthouse to Time Magazine,Screener available upon request,Cannes 2010,,,,,,
blood out,,Complete,,,04/30/2010,Cinema Management Group,,,,,,Action Martial Arts,Jason Hewitt,,,,,04/20/2010,"Luke Goss, Vinnie Jones, Elias Tamer Hassan, Diora Baird, Ed Quinn, Tito Ortiz, Val Kimer, Chrisitan Slater",,,,"Accomplished martial arts master and proverbial good cop Michael Savion is visited by his estranged, gang-banging younger brother David. ",U.S. Release through Lionsgate,Cannes 2010,,,,,"AUS: Eagle, INDO: Pratama, LA TV: Videx, TURK: Film Pop, SCAN: Svensk, ME: Front Row, UK: Lionsgate",
Brotherhood,,Completed,,,,Cinema Management Group,,,,,,"Film Noir, Action",Will Canon,,"Will Canon, Duug Simon",,"Chris Pollack, Steve Hein, Tim O'Hair, Jason Croft",04/20/2010,"Trevor Morgan, Jon Foster, Lou Taylor Pucci",,,,###############################################################################################################################################################################################################################################################,"(Danielle) - A bit cliche but nicely shot, a fraternity theme action film.  Well done for its genre.
HBO will release in the US.",Cannes 2010,"Thu 13 - 16:00@ Lerins 2
Sat 15 - 16:00 @ Lerins 2
Mon 17 - 14:00@ Lerins 2",,Festival Wrap Up,,"UK: Sony, LA: Videx, AUS: Eagle, ME: Front Row"
"Collector, The",,Complete,,,,Cinema Management Group,,,,,,Horror,Marcus Dunstan,$3 Mil.,"Patrick Melton, Marcus Dunstan",,"Brett Forbes, Patrick Rizzotti",04/20/2010,"Josh Stewart, Michael Reilly Burke, Andrea Roth, Madeline Zima",,,,"A real time cat and mouse, melding primal horror with suspense thriller. The story unfolds as a handyman robs a family's country house, only to discover something far more sinister already happening there",,Cannes 2010,,,,,
Darwin's Darkest Hour,,Complete,,,,Cinema Management Group,,,,,,Drama Biopic,John Bradshaw,,John Goldsmith,,Michael Mahoney,04/20/2010,"Henry Ian Cusick, Frances O'Connor",,,,"the story of Charles Darwin’s famous contribution to modern science, “The Origin of Species” and the conflict publishing his work brought to his family and his marriage.",,Cannes 2010,,,,,
gasland,,Completed,,,,Cinema Management Group,,,,,,Documentary,Josh Fox,,,,,04/20/2010,,,,,A new technique of natural gas drilling pioneered by Haliburton is sweeping across the world.  The controversial technique is called Hydraulic Fracturing.,,Cannes 2010,"Sat 15th - 14:00 @ Lerins 2
Tues 18th 17:30@Gray 2",,,,
good hair,,Completed,,,,Cinema Management Group,,,,,,Documentary,,,,,,04/20/2010,"Ice-T, Nia Long, Paul Moony, Ravon Symone, Maya Angelou, Salt n Pepa, Eve, Reverand Al Sharpton",,,,"Chris Rock's raucous exploration of the way hairstyles impact the activities, pocketbooks, sexual relationships and self-esteem of America's biggest hair consumers.",,Cannes 2010,,,,,
Kelin (the daughter-in-law),,Complete,,,,Cinema Management Group,,,,,,Drama,Ermek Tursunov,,Ernek Tursunov,,Aleksandr Vovnyanko,04/20/2010,"Gulsharat Zhubyeva, Kuandyk Kystykbaev, Nurzhan Turganbayev",,,,"A story told in beautiful and poetic images without a word of dialogue, as a young love struggles to survive in the face of uncontrollable external factors.",,Cannes 2010,,,,,
Khumba,,Production,,,,Cinema Management Group,,,,,,3D Animation,Anthony Silverston,,,,,04/20/2010,,,,,"The story of Khumba, a half-striped zebra, who leaves his herd on a daring quest to ""find his stripes"" after he is blamed by his herd for the terrible drought affecting the Great Karoo.",Promo available in Cannes.,Cannes 2010,,,,,
"perfect host, the",,Completed,,,,Cinema Management Group,,,,,,Thriller,Nick Tomnay,,,,,04/20/2010,"David Hyde Pierce, Clayne Crawford, Helen Reddy",,,,###############################################################################################################################################################################################################################################################,"(Danielle) - The audience really liked it, there was clapping in the end.  There's good twists and turns.  At first seems the protagonist is the villain, and then becomes the victim.  The antagonist has a great performance.  It's small but very well done.",Cannes 2010,"Fri 14 - 14:00 @ Lerins 2;
Sun 16 - 15:30 @ Lerins 1",,Festival Wrap Up,,"FR: French Connection, AUS: All Interactive, LA: Videx, ME: Front Row"
zambezia,,Production,,,,Cinema Management Group,,,,,,3D Animation,Wayne Thornley,,,,,04/20/2010,,,,,"On the edge of an enormous waterfall, in the heart of Africa, lies the bird city of Zambezia.",,Cannes 2010,,,,,
best friends forever,,Complete,,,,Cinemavault,,,,,,Comedy,"Becky Smith
",,,,,04/28/2010,"Hallee Hirsh, Theresa Russell, Shiloh Fernandez, Mandy Musgrave",,,,The embarrassment of having never been kissed has Kate turning to her best friends for love advice on her 16th birthday.,,Cannes 2010,,,,,
clash,,Complete,,,,Cinemavault,,,,,,Action,Le Thanh Son,,,,,04/28/2010,"Veronica Ngo, Johnny Tri Nguyen",,,,The final assignment of a professional hit woman looking to exit the world of contract killing is jeopardized when her relationship with  another assassin proves to be at odds with her mission.,,Cannes 2010,,,,,
coach lenny,,Complete,,,,Cinemavault,,,,,,Sports Comedy,Neal Sundstrom,,,,,04/28/2010,"Barry Hilton, Russel Savadier, Yule Masiteng, Ron Smerczak
",,,,A team of underdogs take on a corporation in a game of soccer to decide the fate of a tribal land.,,Cannes 2010 ,,,,,
distanz,,Complete,,,,Cinemavault,,,,,,Action,"Thomas Sieben
",,,,,04/28/2010,"Ken Duken, Franziska Weisz, Josef Heynart
",,,,"A vivid picture of the mind of a disturbed serial killer, Distanz follows Daniel, a seemingly ordinary man on the outside, but underneath is a calculating and emotionless murderer.",,Cannes 2010,,,,,
"last lovecraft, the: relic of cthulhu",,Complete,,,,Cinemavault,,,,,,Action,"Henry Saine
",,,,,04/28/2010,"Kyle Davis, Devin McGinn, Barak Hardley
",,,,Three friends are the world's last hope against an ancient evil awakened from under the sea in this exciting adventure based on the work of H.P. Lovecraft.,,Cannes 2010 ,,,,,
love & savagery,,Complete,,,,Cinemavault,,,,,,"Drama, Romance ",John N. Smith,,,,,04/28/2010,"Allan Hawco, Sarah Greene, Martha Burns",,,,"A lyrical story of impossible love - When Michael meets Cathleen, a beautiful woman who captures his heart, a great romance blossoms, but the path she has chosen forces her to suppress her true feelings.
",,Cannes 2010,,,,,
must love death,,Complete,,,,Cinemavault,,,,,,Dark Comedy,Andreas Schaap,,,,,04/28/2010,"Sami Loris, Manon Kahle, Jeff Burrell, Peter Farkas
",,,,"A dark comedy about a man whose suicide pact turns out to be a trap set by demented and fumbling serial killers.
",,Cannes 2010 ,,,,,
my dog tulip,,Complete,,,,Cinemavault,,,,,,Animation,"Paul Fierlinger, Sandra Fierlinger",,"Paul Fierlinger, Sandra Fierlinger",,"Norman Twain, Howard Kaminsky",05/02/2010,"Christopher Plummer, Isabella Rossellini",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,
"nothing men, the",,Complete,,,04/28/2010,Cinemavault,,,,,,Thriller,Mark Fitzpatrick,,,,Andrew Windsor,04/28/2010,"David Field, Colin Friels, Martin Dingle-Wall
",,,,"A mysterious outsider's arrival at a factory of bitter blue-collar workers fuels a descent into intrigue and brutality that tears through their core.
",,Cannes 2010,,,,,,,
perfect happiness,,Complete,,,,Cinemavault,,,,,,Drama,Jabi Elortegi,,,,,04/28/2010,"Anne Igartiburu, Aia Kruse, Alberto Berzal
",,,,"A renowned pianist's life falls apart after an accident stops her from playing. Reflecting on her experiences, she exposes the root of her fears in her career and in love.",,Cannes 2010,,,,,,,
REykjavik whale watching massacre,,Complete,,,,Cinemavault,,,,,,Adventure,Júlíus Kemp,,,,,04/28/2010,"Gunnar Hansen, Pihla Viitala, Nae, Terence Anderson
",,,,"Texas Chainsaw Massacremeets the humor of Evil Deadin this gory tale set on an Icelandic whaling ship.
",,Cannes 2010,,,,,,,
somewhere tonight,,Complete,,,,Cinemavault,,,,,,Drama,Michael Di Jiacomo,,,,,04/28/2010,"John Turturro, Katherine Borowitz
",,,,"The story of two lonely New Yorkers trying to find companionship over an adult chat phone line. Although each is not what the other hopes they will be, together they prove that wisps of enchantment can be found in even the most overlooked of hearts.",,Cannes 2010,,,,,,,
"last city, the",,Pre-Production,,,,Cinepro Pictures,,,,,,,Philippe Martinez,$25 Mil.,"Megan Brown, Nick Vallenonga, Paul Sloan",,,05/04/2010,,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,
Cell 213,,Complete,,,,Cinesavvy,,,,,,Supernatural Thriller,Stephen Kay,$7 Mil.,Maninder Chana,,,04/23/2010,"Eric Balfour, Michael Rooker, Bruce Greenwood",,,,###############################################################################################################################################################################################################################################################,Supernatural thriller by BOOGEYMAN director. Trailer looks pretty good for the genre. Said 1st scr played very well. (SW),Cannes 2010,"WED 12 - 15:30@STAR 3
SAT 15 - 9:30@STAR 3
",,,,,,
Frankie & Alice,,Complete,,,,Cinesavvy,,,,,,Drama Mystery,Geoffrey Sax,$20 Mil.,"Mary King,  Marko King, Jonathan Watters",,Halle Berry,04/23/2010,"Halle Berry, Stellan Skarsgard",,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,Cannes 2010,,,,,,,
Phantom Punch,,Complete,,,,Cinesavvy,,,,,,Drama/Biopic,Robert Townsend,,Ryan Combs,,"Marek Posival, Ving Rhames, Hassain Zaidi",04/23/2010,"Ving Rhames, Nick Turturro, Stacey Dash, Bridgette Wilson",,,,"From jail to world heavyweight boxing champ, Phantom Punch traces Sonny Liston's life and loves, ties to the mob and mysterious death.",,,,,,,,,
A Late Quartet,,Pre-Production,,,03/30/2010,Cinetic Media,,slip,,,Script,Drama,Yaron Zilberman,,"Yaron Zilberman, Seth Grossman",Susan Wrubel,"Yaron Zilberman, Emanuel Michael, Tamar Sela",,,Script,Coverage,,"On the eve of their 25th anniversary season, the members of a world- renowned string quartet struggle to stay together in the face of death, competing egos, and insuppressible lust.  ",,,,,,,,###############################################################################################################################################################################################################################################################,
abel [CD],,Complete,,,04/19/2010,Cinetic Media,,,,,,Drama Coming of Age,Diego Luna,$2.73 Mil.,Augusto Mendoza,,"Gael Garcia Bernal, Diego Luna, Pablo Cruz",05/06/2010,"Jose Maria Yazpik, Karina Gidi",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 Special Screening,Fri 14 - 14:30 @Bazin (Press) & 19:15 @60th   ,,,,,,
backwoods,,Development,,,04/20/2010,Cinetic Media,,,,,,Thriller,Bart Freundlich,,,Mirjam Wertheim,Tim Perell,04/20/2010,"Julianne Moore, Kristen Stewart",Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,Backwoods C.PDF
Collapse ,,Complete,,,,Cinetic Media,,,,,,,,,,,,,,,,,An engrossing character study that explores the apocalyptic vision of radical thinker Michael Ruppert and his belief that industrial civilization is on the verge of collapse.,,,,,,,,,
EXIT THROUGH THE GIFT SHOP,,Complete,,,,Cinetic Media,,,,,,Documentary,Banksy,,,,,04/20/2010,,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,Thrus 13 - 10:00@ Olympia 2,,,,,,
FRANCIS of ASSISI ,,Pre-Production,,,,Cinetic Media,,,,,,Historical Biopic,Richard Linklater,,,,Corbin Day,,Ethan Hawke,,Coverage,,Chronicles the life of the most beloved saint of Catholic faith.,LA: 750k,,,,,,,###############################################################################################################################################################################################################################################################,
Goats,,Pre-Production,,,,Cinetic Media,,,,,,Drama,Chris Neil,,,Josh Stamell ,Daniela Taplin,,"David Duchovny, Robin Wright, Josh Brolin",,Coverage,,###############################################################################################################################################################################################################################################################,ME 75k,,,,,,,###############################################################################################################################################################################################################################################################,
Holy Rollers,,Complete,,,,Cinetic Media,,,,,,Crime Drama,Kevin Asch,,Antonio Macia,,Danny Abeckaser,04/20/2010,"Jessie Eisenberg, Justin Bartha, Michael Lerner, Fred Durst",,,,Follows the journey of a young Hasidic man from an Orthodox Brooklyn community who gets lured into the world of international ecstasy trafficking.,"Chacitic Jews becoming drug dealers. Will be in Sundance. Small. Unlikely the movie is anything to worry about (MW)
Screener available upon request",Cannes 2010,,,,,,,,
Moth Diaries,,Pre-Production,,,,Cinetic Media,,,,,,Horror Adaptation,Mary Harron (American Psycho),,Mary Harron,Susan,Edward Pressman,04/19/2010,"Lily Cole (The Imaginarium of Doctor Parnassus), Scott Speedman (The Strangers), Sarah Bolger (The Spiderwick Chronicles)",Script,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,,moth diaries.docx
My Trip to Al-Qaeda,,Complete,,,,Cinetic Media,,,,,,,Alex Gibney,,,,,,,,,,Investigates modern day terrorism.,,,,,,,,,,
"special relationship, the",,Completed,,,,Cinetic Media,,,,,,Drama,Richard Loncraine (Richard III),,Peter Morgan,,"Frank Doelger, Tracey Scoffield, Ann Wingate",04/20/2010,"Michael Sheen, Dennis Quaid, Hope Davis, Helen McCrory
",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,Thurs 13 - 16:00@Olympia 8,,,,,,,
vidal sassoon the movie,,Completed,,,,Cinetic Media,,,,,,Documentary,Craig Teper,,,,"Jackie Bauer, Michael Gordon, Jim Czarnecki",04/20/2010,,,,,"VIDAL SASSOON THE MOVIE is the first-time, deeply intimate look into the life of Vidal Sassoon. From his early days in an orphanage to his time as a soldier, Vidal Sassoon's life resulted in a revolution that continues to this day.",,Cannes 2010,Fri 14 - 12:00@Olympia 2,,,,,,,
Golden Slumber ,,Complete,,,,CJ Entertainment,,,,,,Thriller,"Yoshihiro Nakamura (THE FOREIGN DUCK, ROUTE 225, Fish Story)",,,,,,"SAKAI Masato, TAKEUCHI Yuko, YOSHIOKA Hidetaka",,,,###############################################################################################################################################################################################################################################################,,Berlin 2010 - Panorama,,,,,,,,
I’m in Trouble! ,,Complete,,,,CJ Entertainment,,,,,,Drama,So Sang-min,,,,Korean Academy of Film Arts,,"MIN Sung-wook, LEE Seung-jun, JEONG Ji-yeon, KIM Joo-ryung",,,,###############################################################################################################################################################################################################################################################,"Pusan 09 - screened by laure, very hong sang soo
98'",Berlin 2010 - Forum,,,,,,,,
"last godfather, the",,In Produciton,,,04/16/2010,CJ Entertainment,,,,,Variety 4-16-10,Comedy,Shim Hyung-rae,$13.4 Mil.,"Alec Sokolow, Joel Cohen",,,,"Harvey Keitel, Jason Mewes",,,,"It's 1951, and there's a mob war brewing between the Carini Family and the Bonfante family. But when Don Carini decides that his illegitimate Korean son Younggu is his intended heir to the throne, all hell breaks loose.
",,,,,,,,,,
No Mercy,,Complete,,,,CJ Entertainment,,,,,,Thriller,KIM Hyoung-jun,,,,Cinema Service / The Dream Pictures,,"SUL Kyung-gu, RYOO Seung-bum, HAN Hye-jin",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Our Fantastic 21st Century,,Complete,,,,CJ Entertainment,,,,,,Drama,RYU Hyung-ki,,,,Korean Academy of Film Arts,,"HAN Soo-yeon
LEE Hwan",,,,###############################################################################################################################################################################################################################################################,,Berlin 2010 - Forum,,,,,,,,
Sayonara Itsuka,,Complete,,,,CJ Entertainment,,,,,,Drama,"John H. LEE_ A MOMENT TO REMEMBER, CUT RUNS DEEP",,,,"Metaphor Art, Science & Magic",05/08/2010,"NAKAYAMA Miho_ LOVE LETTER
NISHIJIMA Hidetoshi_ LA MAISON DE HIMIKO 
ISHIDA Yuriko",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,EFM: 12 Feb 19:50 CineStar 4,,,,,,,
White Night,,Complete,,,,CJ Entertainment,,,,,,Thriller,Shin-Woo Park,,Shin-Woo Park,,Cinema Service/Pollux Pictures,,"Seok-Gyu Han, Soo Goh, Ye-Jin Son",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Zambezia,,Production,,,,CMG,,,,,,3D Animation,Wayne Thornley,,,,"Stuart Forrest, Vanessa Sinden",,,,,,###############################################################################################################################################################################################################################################################,"FR: 850K
IT: 650K
SW: 45K
SCAN: 200K
INDO: 30K
A/N: 450K",,,,,,,,,
