Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
here comes lola,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Childrens,Franziska Buch,,,,,05/02/2010,"Meira Durand, Felina Czycykowski, Julia Jentch, Nora Tschirner",,No Print Coverage,,"Lola is a bright and lively nine-year-old from Hamburg who has a passion for Brazilian music, a fear of frogs, lots of imagination, and a really big wish: she wants a best friend! An acknowledged specialist of children's films (award-winning 'Emil and the Detectives', “Bibi Blocksberg”), director Franziska Buch focuses her competent eye on author Isabel Abedi's 'Lola' adventures, which have been translated into 13 languages. With lots of cool songs and snappy rhythms driving the film onward, 'Here Comes Lola' finds just the right tone to get its message across to young audiences: that life is an adventure that is sometimes hard…but that can be
mastered!",,,"Fri 14th 14:00@Olympia 4
Sun 16th 15:30@Riviera 2",,,,,,,
How I Ended This Summer ,"Cannes 2010, Berlin 2010","Cannes 2010, Berlin 2010 - Competition",Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Thriller,Alexei Popogrebsky ,,,,,05/02/2010,"Grigory Dobrygin, Sergei Puskepalis",,No Print Coverage,,"A polar station on a desolate island in the Arctic Ocean. Sergei, a seasoned meteorologist, and Pavel, a recent college graduate, are spending months in complete isolation on the once strategic research base. Pavel receives an important radio message and is still trying to find the right moment to tell Sergei, when fear, lies and suspicions start poisoning the atmosphere.",Beautiful but nothing happens. Wallie: Most beautiful film I saw.,,"Fri 14th 9:45@Olympia 6
Mon 17th 18:00@Riviera 3",,,,,,,
It's Your Fault,"Cannes 2010, Berlin 2010","Cannes 2010, Berlin 2010 - Panorama",Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Drama,Anahí Berneri ,,,,,05/02/2010,"Erica Rivas, Nicasio Galán, Zenón Galán",,No Print Coverage,,"For young mother Julieta, recently separated from her husband, it's evening at home, with her two little boys raising hell in the cramped family apartment. But something happens: the youngest boy falls and hurts himself. Julieta grabs the boys and heads for the hospital, where help and understanding give way to shattering suspicions… 90'",,,"Sat 15th 10:00@Riviera 3
Mon 17th 13:30@Riviera 4",,,,,,,
Jane's Journey,Cannes 2010,,Not All Pass,Completed ,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Documentary,Lorenz Knauer,,Lorenz Knauer,,Philipp Schall,05/02/2010,Jane Goodall,,No Print Coverage,,"More than twenty years ago, Dr. Jane Goodall, now 75, decided to give up her career as a primatologist, as well as her private life, in order to devote her entire energy to saving our endangered planet. Since then she’s been spending 300 days per year travelling around the globe on her mission to spread hope for future generations.","(Stefano) - There was a problem with the last scene, nice portrait, but not enough for theatrical.",,"Thur 13th 15:30@Lerins 1
Sat 15th 13:30@Lerins 1",,Festival Wrap Up,,,,,
Joy,"Cannes 2010, Berlin 2010","Cannes 2010, Berlin 2010 - Generation",Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Drama,Mijke de Jong ,,,,,05/02/2010,"Samira Maas, Dragan Bakema",,No Print Coverage,,"Joy has only one aim in her young life: to find her biological mother. Abandoned as a baby and raised in orphanages she is convinced, that once she is reunited with her biological mother, happiness will at last be her share. When her best friend Denise turns out to be pregnant, Joy’s quest becomes an obsession…",,,"SAT 15 - 11:30@RIVIERA 2
TUES 18 - 12:00@OLYMPIA 6",,,,BLX: A-Film,,,
"life, above all",Cannes 2010,Cannes 2010 Un Certain Regard,Not All Pass,Completed,,Not Tracking,04/19/2010,Bavaria Film ,,,,Not Film List,,Drama,Oliver Schmitz,,Dennis Foon,,Oliver Stoltz,05/06/2010,Khomotso Manyaka,,No Print Coverage,,"12-year-old Chanda is a promising young student growing up in a small township not far from Johannesburg, South Africa. But when Chanda's baby sister unexpectedly dies, the neighbors become increasingly distant. Searching for answers, she is met with stubborn silence. An act of bravery is needed... 100'","(Wallie) - Too much drama and sentiment.  This is a pass. A second opinion says it's beautifully shot, interesting theme but very slow.  Drags on.  ",,"Fri 14 - 15:30 @Lerins 1
Sun 16 -12:00 @Palais I
Tue 18 - 11:15 @DEBUSSY   
Wed 19 - 13:15 @BAZIN  
Fri 21 - 16:30 @DEBUSSY",,Festival Wrap Up,,"FR: ARP, SW: Senator",,,
Nothing Personal,,,Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Drama,Urszula Antoniak,,Urszula Antoniak,,,,Stephan Rea,,No Print Coverage,,"A young, rebellious Dutch woman walks the trails of Ireland, vagabond by choice, enjoying the solitude she was looking for in the austere landscape of Connemara. When she meets a older educated, solitary man, they close a deal: food in exchange of work. But there is one condition: no personal contact, no questions. Who will be the first one to
break the deal?",,,,,,,,,,
Rabbit Without Ears 2 ,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Romance Comedy,Til Schwiger,,Til Schwiger,,Til Schwiger ,05/02/2010,"Til Schwiger, Nora Tschirner",,No Print Coverage,,"Ludo and Anna, two years later. The couple has settled in. Ludo triggers Anna's jealousy when he runs into an old flame. And rightfully so, since Ludo's ex-girlfriend wouldn't mind lighting up that old fire again.",,,"Sun 16th 17:15@Riviera 2
Tues 18th 9:15@Riviera 4",,,,,,,
"Silence, The",Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Crime Drama,Baran Bo Odar ,,Jan Costin Wagner,,,05/02/2010,"Sebastian, Blomberg, Ulrich Thomsen",,No Print Coverage,,"On a hot summer day, a bicycle is found in a wheat field – the exact scene of a crime committed 23 years ago. This time 13 year-old Sinikka is missing. While the investigator of the unresolved case and a young colleague start their inquest, for Sinikka’s parents an agonizing period of waiting and uncertainty begins. The
summer heat lies over the modest family homes like a bell jar and, behind the doors, once intact worlds begin to fall apart.",,,"Sun 16 - 14:00 @Palais I
Mon 17 - 11:30 @Palais J",,,,,,,
Van Diemen's Land,,,Not All Pass,Completed,,Not Tracking,,Bavaria Film ,,,,Not Film List,,Drama thriller,Jonathan auf der Heide,,Oscar Redding,,Maggie Miles,,"Oscar Redding, Mark Winter, Tony Wright",,No Print Coverage,,"The true story of Alexander Pearce, Australia's most notorious convict, who in 1822 escapes with seven fellow inmates from a penal colony on Van Diemen's Land, Tasmania",,,,,,,,,,
Stones in exile,Cannes 2010,Cannes 2010 Directors' Fortnight - Special Screenings,Not All Pass,Completed ,,Not Tracking,,BBC World,,,,Not Film List,,Documentary,Stephen Kijak,,,,,05/03/2010,,,No Print Coverage,,"At the end of the 60s the Stones were at a turning point _ hounded by the press, battling drug busts, and facing possible financial ruin, the band throws down the gauntlet and decamps to the south of France to begin the most arduous recording sessions of their entire careers for an album that in time will come to be regarded as one of the greatest rock and roll albums ever made. This is the story of the Stones in exile. This is the Stones fighting for their lives. This is the story of the making of Exile on Main Street. 61'",,,Wed 19 - 17.00 & 19.30 @Palais Stephanie   ,,,,,,,
neither the veils nor the four walls,,,Not All Pass,Development,,Not Tracking,04/19/2010,Belladonna Productions,,Illan Girard,,Not Film List,,Drama,Afia Serena Nathaniel,,Afia Serena Nathaniel,,"Rene Bastian, Abhay Deol, Ilann Giard, Linda Moran, Cordelia Stephens",04/19/2010,,,Print Coverage,,"From her village in Pakistan, a young mother sets out on an extraordinary and dangerous journey to save her eight-year-old daughter from the fate of an arranged marriage to a powerful warlord.",,,,,,,,"
TITLE: Neither the Veil Nor the Four Walls
DIRECTOR: Afia Serena Nathaniel
WRITER: Afia Serena Nathaniel 
CAST: TBA
STATUS:  In Development
GENRE: Drama
READER: Steven Murphy
SUBMITTED BY : Susan Wrubel

LOGLINE

An Indian woman runs off with her seven year old daughter to save her from being forced into a marriage with a much older man.

COMMENTS

A brutally forthright script about the horrors associated with the repressed lives of females in Muslim society, – women in the film are raped, abused and one is literally stoned to death.   The fugitive plot starts off powerfully, but the chase lags and the ending left me feeling vacant rather than moved – in a film with no hope, a tragic ending is not a surprise.  The romance between Allah and Sohail had some good moments, and the imagery of the merging rivers was powerful, but again, the resolution (he drops her off at the consulate before changing his mind and rushing back a moment too late…) was disappointing.  With strong performances and direction it could be a strong festival type pic. 

SUMMARY

ALLAH RAKHI, a 25 year old woman, cooks is married to a tribal chief DAULAT KHAN, 76, who fawns over her and adores her cooking.  Allah, who already has a seven year old daughter ZAINAB with him, secretly takes birth control pills to avoid another pregnancy.  Daulat believes it is right as a husband to have his way with her sexually, even during her period, at which point he practically rapes her in the ass.

Daulat’s friend HASHIM KHAN takes a liking to young Zainab and asks to marry her.  Allah is devastated when Daulat tells her that her daughter must marry the lecherous old man (who also happens to be Zainab’s Uncle).  Upset that his wife be so insolent, he locks Allah in her room so that she can’t interfere with the wedding, only letting her out when she agrees not sabotage the wedding plans. Allah’s protestations come from her own experiences, she was forced to marry Daulat when she was also a very young girl, and still has nightmares about being raped on their wedding night. She wants her daughter to be spared the same fate.  

The wedding goes off without a hitch, but Allah manages to sneak away with Zainab, escaping after the ceremony and running for the highway.  The runaways are picked up by SOHAIL, a truck driving scamp reluctant to help.  Upon finding out the women have disappeared, Daulat and his nephew SHEBAZ (a violent man who fancies Allah Rakhi) chase after them in an armored van, armed with machine guns.  Daulat is desperate to find the women before sunrise to avoid Hashim being shamed publicly for his wife’s disappearance.  

SOHAIL realizes that they are being chased and decides to pull over and immediately turn the women over to their pursuers, realizing that they’ve put his life at risk.  Allah pulls out a gun and holds it to her head, vowing to commit suicide rather than be returned to Daulat.  Sohail reluctantly agrees to help them, and hides them in his truck.  Dolait and Shebaz pull him over at gunpoint and search the vehicle, but find nothing.  Sohail lies, telling them that he dropped the women off in a different town.  

At a truckstop, Sohail runs into his deceased wife’s brother (his former brother in law) who sees the women and reports them to the police, who in turn, alert Dolait.  Back on the road, Sohail is stopped by police, but convinces them that Allah is his wife.  

They make it to a bridge where two major rivers meet, but realize they need to cross treacherous mountains guarded by gangs, and cannot make it in their truck.  ZAINED wanders off and nearly falls through the rickety bridge over the rivers, but ABDULLAH, a wise old man, saves the child’s life.  Abdullah promises to help the fugitives by driving the truck around the mountain, and insists that the only way they can make it to the other side is to cut through the mountain. 

In the mountains they are kidnapped by the gangs, but Allah saves the warlord’s wife’s life, so the gangster allows her to pass.  On the other side of the mountain they are relieved to find that Abdullah has kept his word.  Aware that their truck has been identified, they swap it for his minivan and head to Lenore in the desperate hopes of rendezvousing with Allah’s mother TASNEEM.  Tasneem has already been approached by Dolait and she has agreed to cooperate; she agrees to meet Allah in the town square, but doublecrosses her daughter… Dolait and his men are able to nab Zained, but Solait and Allah escape.  Allah sneaks into Dolaits hideout and helps Zained escape. Solait drives the women (whom he’s fallen in love with) to the human rights consulate where he believes they will be safe.  While a lawyer briefs Allah as to her rights, her mother Tasneem shows up and asks to see Allah.  When she is let in, Tasneem shoots and kills Allah, her daughter.
",,neithertheveilsnorthefourwalls.doc
ALMANYA,Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Melodrama,Yasemin Samdereli,,,,,04/30/2010,"Fahri Ogün Yardim
Petra Schmidt-Schaller
Denis Moschitto
Vedat Erincin
Aylin Tezel",,No Print Coverage,,"After living for 45 years in Germany as a Turkish “guest worker”, Huseyin Yilmaz, now in his 70’s, announces the whole family that he has bought a house in Turkey and wants everyone to fly back with him to renovate it. But the family is not enamored with the idea and a heated debate ensues. Moreover, this is clearly not the time for his granddaughter Canan to reveal that she is pregnant from an English boyfriend the family has never seen.",,,,,,,,,,
Au Revoir Tapei,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Arvin Chen,,,,,04/30/2010,"Jack Yao, Amber Kao, Joseph Chang, Lawrence Ko, Frankie Gao",,No Print Coverage,,"A lovesick young man is leaving Taipei in hopes of getting to Paris, but over the course of one extraordinary night, finds the excitement and romance he was longing for is already there.",Asian love story. Unlikely buy (MW).,,"Sat 15 - 11:30 @ Riviera 4,
Mon 17 - 15: 30 @ Riviera 4",,,,,,,
Ayla ,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Su Turhan,,,,,04/30/2010,"Pegah Ferydoni (WOMEN WITHOUT MEN), Mehdi Moinzadeh, Timur Isik
Saskia Vester",,No Print Coverage,,"Ayla, an independent young Turkish-German woman, falls in love with Ayhan, who is involved in a murderous plan to restore his family's honor…",To check. Su Turhan is a talented director (LC),,"Fri 14 - 20:30 @ Riviera 1
Sun 16 - 9:30 @ Riviera 2",,,,,,,
Berlin ‘36,,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Kaspar Heidelbach,,"Eric Friedler, Lothar Kurzawa",,,,"Karoline Herfurth, Sebastian Urzendowsky, Axel Prahl
August Zirner, Thomas Thieme",,No Print Coverage,,"1934. Gretel Bergman is Germany's best female high jumper, but because of her Jewish origins, she has had to pursue her passion for sports in England. As the 1936 Berlin Olympics approach, she is allowed to compete with the German team – in spite of the opposition of the Reich sport minister. Undaunted, the Nazis come up with a perfidious plan: they send Dora Ratjen , who is actually a man, to sabotage Gretel's training and her Olympic chances... 110'",,,,,,,,,,
Bon Appetit,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Romance Drama,David Pinillos,,,,Juan Gordon,04/30/2010,"Unax Ugalde (CHE: PART ONE), Nora Tschirner (RABBIT WITHOUT EARS), Giulio Berruti (MELISSA P.), Herbert Knaup (RUN LOLA RUN)",,No Print Coverage,,"In the kitchen of Zurich's gourmet restaurant 'W,' the young Spaniard Daniel is new to the team and soon becomes a protegé of master chef and restaurant owner Thomas. He makes friends with Hugo, an Italian chef, and Hanna, a German sommeliere. In love with life, high on adrenaline, aware of their exceptional talents and skills, the trio seems on its way to becoming an inseparable band of friends. Until Hanna kisses Daniel…",To check. Medusa in Italy (LC) Pass (Cineart) Looks dull (MW),,"Thurs 13 - 10:00 @ Riviera 3,
Tues 18 - 13:30 @ Riviera 4",,,,,,,
Cease Fire,,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Lancelot von Naso,,Lancelot von Naso,,"Florian Deyle, Martin Richter",,"Thekla Reuten
Matthias Habich
Hannes Jaenicke
Maximilian von Pufendorf
Husam Chadat",,No Print Coverage,,"Baghdad. The official war is over, but everyday life is an endless catastrophe. The situation in Falluja is particularly desolate: hardly any food supplies left, no medicine, medical care in shambles. In the midst of this dramatic situation, the U.S. forces reach an agreement with the rebels: a 24-hour ceasefire. KIM (Thekla Reuten), the Dutch member of an international aid organization, is planning a transport of badly needed supplies to a hospital in the war zone with ALAIN (Matthias Habich), a doctor. Assisting them is OLIVER (Maximilian von Pufendorf), a young journalist who hopes to finally land a spectacular story. Forming a community of conflicting interests, the three very different idealists all want to save lives – but first they have to save their own...",,,,,,,,,,
EL NINO,Cannes 2010 ,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Florian Cossen,,,,,04/30/2010,"Jessica Schwarz, Michael Gwisdek, Raphael Ferro",,No Print Coverage,,"During a stopover on her way to Chile, 31-year-old Maria (Jessica Schwarz) recognises
a nursery rhyme in Buenos Aires. Maria doesn’t speak a word of Spanish, but without
understanding what she is singing she remembers the Spanish lyrics. Disturbed and
thrown off course, she breaks her journey and wanders through the unfamiliar city.",,,,,,,,,,
ELECTRO GHETTO,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Uli Edel,,,,,04/30/2010,"Bushido, Moritz Bleibtreu, Karline Schuch, Elyas M'Barek, Hannelore Elsner",,No Print Coverage,,"Top German rapper Bushido is on tour in Germany, when he receives a post card from his father. All the old memories come boiling to the surface: Growing up as a ghetto kid in Berlin, dealing drugs instead of going to school, slipping ever further into juvenile delinquency, heading towards a life of crime and prison. One imagespecially won’t let go of Bushido: His father beating his mother in front of him. At the height of his success as a rapper, Bushido must confront the demons of his past. It’s not just times that are a-changing, it’s the times that change you.",,,"Sun 16 - 18:00 @ Riviera 3,
Mon 17 - 19:30 @ Arcades 3",,,,,,,
"End Is My Beginning, The",Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Jo Baier,,,,,04/30/2010,"Bruno Ganz, Elio Germano, Erika Pluhar, Andrea Osvárt, Gianni Cavina",,No Print Coverage,,"The Italian Tiziano Terzani (Bruno Ganz), long-time Spiegel magazine Asia correspondentand renowned author, invites his son Folco (Elio Germano) to his retreat, a smallmountain village northwest of Florence. It turns into no ordinary visit: Tiziano isseriously ill with cancer and wants to tell his son the story of his life in the time beforehis death. For three long months Tiziano and Folco will talk every day, reflecting on their own lives, discussing society, modern times, young people and the world.","Great part for Bruno Ganz, maybe Venice. Rai in Italy (LC)",,,,,,,,,
Goethe! ,Cannes 2010 ,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Philipp Stölzl,$9.5 Mil,,,Christoph Muller,04/30/2010,"Alexander Fehling, Moritz Bleibtreu , Burghart Klaußner , Henry Hübchen , Miriam Stein",,No Print Coverage,,"A modern pop fairytale. Germany 1772 - the young and tumultuous Johann Goethe But then Lotte (Miriam Stein) enters his life and nothing is the same as before as (Alexander Fehling) is sent by his father (Henry Huebchen) to a sleepy little town they fall in love with one another. However, Johann is unaware that Lotte is in fact to mend his ways after failing his law exams. At first, he tries to do his best at already promised by her father (Burghart Klaußner) to Kestner...The dramatic and the Supreme Court and even convinces his superior Kestner (Moritz Bleibtreu). unfulfilled love between the poet and Lotte was the template for his masterpiece 'The Sorrows of Young Werther'.","Promo available in Cannes.  About to close Italy, to take a look at (LC) Looks good. Has passion. One to keep in mind for sure (MW). To be tracked",,,,,,,,,
Hidden,Cannes 2010 ,,Not All Pass,Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,WWII Drama,Agnieszka Holland,,,,,04/30/2010,"Robert Wieckiewicz, Benno Fürmann , Maria Schrader, Herbert Knaup",,No Print Coverage,,"In March, 1943, Lvov, Poland is a beautiful city held in the iron grip of the Nazi occupation. The weak prey upon the weaker; the poor steal from the less poor. Near the bottom of this chain is Leopold Soha, a petty thief. His knowledge of the sewers’ intricate maze of tunnels and chambers, in which he hides his loot, has earned him a menial job as a sewer worker. But there is a group of people in Lvov worse off than Soha – the Jews. Crowded into a ghetto, they are being worked and starved to death. Realizing that the ghetto is about to be destroyed, a motley group meet in secret to plot an escape into the sewers.",,,,,,,,,,
Jerry Cotton,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Action Comedy,"Cyrill Boss, Philipp Stennert",,Cyrill Boss,,Christian Becker,04/30/2010,"Christian Tramitz, Christian Ulmen, Heino Ferch , Moritz Bleibtreu , Christiane Paul  and Monica Cruz ",,No Print Coverage,,New York FBI agent JERRY COTTON (Christian Tramitz) is on the brink of losing his sterling reputation: the head of the Supervisory Authority DARYL D. ZANUCK (Christiane Paul) accuses him of having committed a double murder. Did Jerry shoot SAMMY SERRANO(Moritz Bleibtreu) out of revenge because he was unable to nail him for the theft of theStates Union gold?,,,"Sat 15 - 19:30 @ Aracades 3,
Tues 18 - 15:30 @ Riviera 2",,,,,,,
Keep Surfing ,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Documentary,Björn Richie Lob,,,,,04/30/2010,,,No Print Coverage,,"A fascinating look at Munich's legendary river-surfing community, a group of six very different characters who all share a passion for going against the flow.",Doc about river surfing. No audience (MW),,"Fri 14 - 13:30 @ Riviera 2,
Sun 16 - 19:30 @ Riviera 2",,,,,,,
Men in the City,,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Romantic Comedy,Simon Verhoeven,,Simon Verhoeven,,"Quirin Berg, Max Wiedeman",,"Till Schweiger, Christian Ulmen, Nadja Uhl, Wotan Wilke Mohring",,No Print Coverage,,"Five men in search of love and happiness in a time when men aren't really sure anymore what it means to be a man, and what women expect of them.",,,,,,,,,,
my best enemy,,,Not All Pass,Pre-Production,,Not Tracking,,Beta Cinema,Active,,,Film List,,,,,,Steve is reading,,,,Script,No Print Coverage,,,,,,,,,,,,
MY BEST ENEMY,Cannes 2010 ,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Tragic Comedy,Wolfgang Murnberger,,,,,04/30/2010,"Moritz Bleibtreu,Georg Friedrich, Marthe Keller, Udo Samel, Ursula Strauss",,No Print Coverage,,Poland 1943: An unlikely pair – a concentration camp prisoner and a captain in Hitler’s notorious SS - free themselves from the wreckage of a crashed SS airplane. The two appear to be strangely familiar with each other…,,,,,,,,,,
"My Words, My Lies, My Love",,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Alain Gsponer,,"Alex Buresch, Martin Suter",,"Andreas Fallscheer, Henning Ferber",,"Daniel Brühl, Hannah Herzsprung, Henry Hübchen",,No Print Coverage,,"The shy waiter DAVID succeeds in winning the attentions of the young MARIE after he pretends to be the author of a novel whose manuscript he found in a junk shop. Everything goes well: the novel – a tragic love story set in the 1950s – hits the bestseller lists and the two become an item – until, suddenly, a tramp appears at a book signing claiming to be the real author of “Lila, Lila”… 100'",,,,,,,,,,
Neapolitan Songs,Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Documentary,John Turturro,,,,,04/30/2010,"James Senese, Fausto Cigliano, Raiz, M'Barka Ben Taleb, Pietra Montecorvino, John Turturro",,No Print Coverage,,"Italo-American actor John Turturro's 'Buena Vista Social Club'-like feature celebrating the musical roots and traditions of Naples, Italy, as well as its influence on the restof the world.",,,,,,,,,,
"Quiet Life, A",Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Claudio Cupellini,,,,,04/30/2010,"Toni Servillo, Juliane Köhler , Alice Dwyer, Marco D'Amore",,No Print Coverage,,An ex-mobster leaves his family in Italy to protect them and starts an undercover life in Germany. After 15 years his son visits him and his past starts haunting him again.,Promo available in Cannes.,,,,,,,,,
Tiger Team,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Family ,Peter Gersina,,"Peter Gersina, Thomas Brezina",,"Susanne Freyer, Hans Ponsold",04/30/2010,"Stipe Erceg, Iris Berben, Deshun Wang",,No Print Coverage,,"Biggi, Luk and Patrick accompany the director of the Vienna Zoo to China to collect two panda cubs, but unexpected adventures await them.",,,"Fri 14 - 9:30@ Riviera 2,
Tues 18 - 13:30 @ Riviera 2",,,,,,,
Vincent Wants to the Sea,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Beta Cinema,,,,Not Film List,,Drama,Ralf Hüttner,,,,,04/30/2010,"Florian David Fitz, Karoline Herfurth, Heino Ferch ",,No Print Coverage,,"It was the last dying wish of his mother to once again visit the sea, but now, Vincent’s mother is dead, her ashes reverently stored in a candy tin under his bed. Still, Vincent (Florian David Fitz) will do everything he can to grant his deceased mom her last wish.",,,"Sat 15 - 17:30 @ Arcades 3,
Wed 19 - 11:30 @ Riviera 2",,,,,,,
Beat Down,,,Not All Pass,Post-Production,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Action,Mike Gunther,,,,,,"Rudy Youngblood, Danny Trejo, Bobby Lashley",,No Print Coverage,,"When city- boy Brandon Becker injures the son of a local law enforcement officer in an illegal street fight, he runs and hides out with his estranged father on an island off the coast of Canada. Trouble isn't far behind as Brandon quickly finds himself waist deep in underground mixed- martial arts battles in a cannery warehouse, and romancing a beautiful girl, Erin, who's brother is the most vicious local fighter. Starring Rudy Youngblood ('Apocalypto'), Danny Trejo (Robert Rodriguez's upcoming 'Machete'), Eric Balfour (Quentin Tarantino presents 'Hell Ride') and a slew of today's top mixed martial arts fighters, 'Beatdown' promises non- stop action and thrills.","BLX 70
GER 125
SCAN 65
INDO 30k
ME 35k
FR  85k
LA 200
IT 75
PORT 35 ",,,,,,,,,
Circle of Pain,,,Not All Pass,Completed,,Not Tracking,04/02/2010,Bleiberg Entertainment,,,,Not Film List,,Action/Adventure/Martial Arts ,Daniel Zirilli ,,"Bobby Mort, Sean Patrick O'Reilly, Daniel Zirilli",,"Deborah Gabler, Michael Z Gordon, Sean Patrcik O'Reilly",,"Dean Cain, Bai Ling, Tony Schiena, Heath Herring, Kimbo Slice",,No Print Coverage,,A retired fighter returns to the ring to take down a cocky and vicious rival.,,,,,,,,,,
Circle of Pain,Bleiberg,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Action,,,,,,05/08/2010,"Dean Cain, Bai Ling",,No Print Coverage,,Mixed martial arts action film.,,,SAT 15 - 9:30@PALAIS F,,,,,,,
Dark Mirror,,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Horror,Pablo Proenza,,Pablo Proenza,,Erin Ploss-Campoamor,,David Chisum,,No Print Coverage,,"A photographer moves her family into a strange old house, where she discovers an alternate reality reflected in the glass... A dark reality that is closing in on her.
",,,,,,,,,,
Freeway Killer,,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Crime Thriller,John Murlowski,$1 Mil.,David Birke,,"Shannon Banal, Ehud Bleiberg",,"Scott Leet, Michael Rooker",,No Print Coverage,,"The true story of serial killer William Bonin, who claimed dozens of victims of California's highways in the early 1980s. Eventually, he was the first man in the state to die of lethal injection.","BLX 40
FR 80
IT 70
SW  (ger 130)
SCAN 50
LA 120
INDO 15
PORT n/a 
MID EAST gone ",,,,,,,,,
Gene Generation 2.0: War of the Bloodlines,,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Sci Fi Thriller,Pearry Reginald Teo,$2.5 Mil,Keith Collea,,Keith Collea,,"Bai Ling, Fay Dunaway",,No Print Coverage,,"In a futuristic world, Michelle lives everyday battling with DNA Hackers who use their skills to hack into people's bodies and kill them. She is an assassin, battling her past demons and trying to keep her younger and extroverted brother, Jackie, out of trouble. When Jackie gets involved in a petty crime of robbery, he propels himself into the world of DNA Hackers, Shylocks (Loan Sharks) and Gang Fights. Wanting the respect that the world has never given to him only makes it harder for Jackie to peel himself away from the underground trades, against the hopes of his sister, Michelle. Michelle always wanted to leave the city and lead a calm and quiet lifestyle. As emotions and gunfire get into the way, Michelle and Jackie soon find themselves battling between their lives and finding out that in an immoral world, love can still survive. Blood is thicker than water.",,,,,,,,,,
Iceman ,,,Not All Pass,Development,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Drama thriller,Ariel Vroman,$20 Mil.,Morgan Land,,,,"Mickey Rourke possible, Live Schriber in negotiations",,No Print Coverage,DVD,"A family man realizes he needs to make more money to give his duaghter the life she needs, and becomes a cold blooded hitman ",,,,,,,,,,
Kirot,,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Action Thriller,Danny Lerner,$10 Mil.,Danny Lerner,,,,Olga Kurylenko,,No Print Coverage,,"Galia is an assassin involved against her will with the local sex-traffic mafia. All she wants is to reunite with her little daughter that she left back home in Russia. Eleanor is a grocery store cashier and a battered wife. She dreams of winning the lottery and running away from her abusive husband. Galia and Eleanor don't know each other, but as neighbors they share two things: an adjoining wall and a strong need to plan their escape. When Galia tries to help Eleanor a friendship grows between the two women. As Galia disobeys her latest contract, a woman target, and Eleanor discovers that she's pregnant, the two women decide to take action against their oppressors in a fight for survival and freedom.",,,,,,,,,,
