Title, Coverage Text Only
Moses Taite's War,
"Runway, The",
Above Suspicion,
Drive,"LOGLINE:
A professional DRIVER and master of stunts,  falls in love with a woman who’s married to a criminal; when the con gets out of jail he talks the Driver into a bank robbery job that puts both of their lives at risk. 

COMMENTS:
A better than average popcorn script with some really interesting attachments as the director and lead. The script gets bogged down in the middle and I had a really hard time buying the Driver’s involvement with IRINA; especially when her husband returns… that aside,  the action sequences are really well written, cool, exciting, visceral; and also the criminal characters are portrayed in a really interesting manner; I was taken in by how loveable SHANNON, NINO and BERNIE wind up being portrayed; they’re not just stock criminal characters, there’s heart and depth to them.  The main characters are actually the weaker links, but I think GOSLING will be really cool, and can play an interesting bad ass, despite the fact that he’s not known for this type of thing.  I’d much rather see him in this role than Paul Walker or some generic lead.  Consider for popcorn. 
 
SUMMARY:
DRIVER is a world class driver;  with an uncanny ability to control a car; improvise under pressure and get out of incredibly tight situations.  He drives a getaway car for some armed robbers; nearly getting caught by police cruisers and a helicopter before pulling into a Staples Center parking lot just as a Clipper’s game gets out; Driver is in a WHITE HONDA CIVIC, the most popular car in L.A. and when the game lets out, its impossible for the cops to track him. 
 
DRIVER gets his cars supplied to him by SHANNON, an aging, infirm mechanic who loves Driver like a brother. Shannon dreams of getting out of the movie biz (he supplies cars for action movies, and Driver moonlights as a stunt driver) in order to open his own nascar racing team, with Driver taking the wheel of their stock car. 
 
SHANNON has a couple of investors interested in backing him; namely BERNIE ROSE and NINO; two gangsters. BERNIE is reluctant to join the venture, until he meets and is impressed by DRIVER.  “How much do you need to get started?” 
 
DRIVER meets a beautiful Latina women and starts spending a lot of time with her; IRINA has a child named BENICIO; and she’s also married, but her husband is in jail. DRIVER brings them to a movie studio & Shannon gives the excited kid a tour; and Driver also lets her watch him practice racing on the track.    The night she finds out her husband is getting out of jail, Irina gives Driver a long, bittersweet kiss. 
 
Irina’s husband STANDARD gets out of jail and reclaims his territory as head of the household. DRIVER lets out his anger on set; after SHANNON gets into an altercation with an AD, the driver explodes, nearly killing the guy. 
 
DRIVER sees Standard get beat up by thugs; Standard admits that he’s in debt to some criminals from the joint and that if he doesn’t make a big score they’re gonna come after Irina and Benicio. 

DRIVER reluctantly agrees to get in on Standard’s score; and Irina gets very suspicious that the men are planning a job; Standard is staying out late and spending a lot of time talking about how he’s gonna “take her away.” Irina begs driver to tell her if anything is going on, but Driver is forced to lie. 
 
The job goes badly; they rob the bank, but as Driver waits with the getaway car, Standard and another thief get killed.  Driver and a female accompliss speed away, but they get chased by a MUSTANG; which driver thinks has been tipped off.  The girl admits that the boss, COOK, was planning a double cross.  A hitman kills the girl and tries to kill the Driver, but he escapes. 
 
Driver goes on the lamb, hiding out with Shannon’s help; Irina is irate; her husband is dead and she blames Driver. 
 
Driver tries to return the 3 million dollars to the gangsters who set up the double cross, but finds out its NINO and BERNIE.  He tries to arrange a drop, but NINO orders a hit; NINO needs to eliminate him to cover his tracks – the 3 million was money he robbed from a fellow Mafioso, and he’s got to get rid of everyone involved.  Bernie, looking for Driver, kills Shannon.
 
Driver kills NINO.  Bernie seems to want to settle the situation, and meets Driver at a polish restaurant where the two enemies share a meal together before getting into a knife fight in the parking lot.  Driver takes a vicious injury but kills Bernie. 
 
Driver leaves the money for Irina and Benicio and starts his engine, to head into the great unknown. 
"
From Prada to Nada,"LOGLINE 
A Latina spin on Jane Austen's 'Sense and Sensibility,' where two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.
 
COMMENTS
Comedic adaptation of Jane Austen, it’s a bit of a clunker.  Characters are quite flat, silly, and feels very TVish.  The plot loosely adheres to the original, and the loves stories are trite and predictable.  It’s a chick flick, for younger audiences. Definitely not arthouse. 
 
SUMMARY
MARY, a 18, year old stuck up rich Latina girl and her older sister NORA, a dorky (but attractive) girl concerned with justice and the “important” things in the world head home for their father’s fiftieth birthday celebration. GABRIEL is a proud, doting father, frustrated by the fact that his daughters often fight. During his party, GABRIEL has a heart attack and dies. 
 
At the funeral, MARY and NORA are shocked to find out they have a 30 year old brother GABE, who is married to snooty OLIVIA.  At the reading of the will, they are further shocked to find out their father was broke.  They are going to have to sell the house to pay off his debt.  OLIVIA’s brother, the ruthless but sexy! Lawyer EDWARD arrives and seems charmed by NORA. 
 
MARY and NORA are offended by OLIVIA’s plans for renovation and are forced to move into their aunt AURELIA’s house in a crappy part of East LA.  MARY can hardly bring herself to get out of the car she is so upset and freaked out by her new, poor lifestyle. MARY is forced to sell her Mercedes and get a beat up Toyota, which a neighbor BRUNO helps her fix up.  
 
EDWARD arrives with a UHAUL truck full of all their stuff and even gets NORA a job at his law firm. MARY starts a romance with her rich literature professor, RODRIGO, but keeps having argumentative flirtations with her new neighbor BRUNO. Meanwhile, NORA uses her new job to help a group of Mexican workers via pro bono work. 
 
AURELIA throws a big party; MARY and RODRIGO have a great time, and BRUNO gets very jealous.  NORA and EDWARD kiss, but she tells him he’s in her way, in the way of her career and dreams, etc.  Embarrassed, he leaves.  Shortly thereafter, MARY and NORA get invited to his engagement party. NORA is shocked. 
 
NORA and MARY attend the party.  MARY is shocked to find that RODRIGO is there with his wife! To make matters worse, they have bought the Dominguez house, which OLIVIA has made look like a McMansion.  GABRIEL’s dream home is all but gone. In tears, MARY leaves, and winds up getting hit by a car. 
 
MARY is forced to ride around in a wheelchair because she has broken legs, and BRUNO makes a ramp for her to get into her house.  MARY apologizes to him for having been so cruel, and it’s clear the two have a romantic future.  
 
EDWARD arrives, tells NORA he canceled his engagement and asks NORA to marry him. The entire block breaks out in a party. 
"
Great Ghost Rescue,
"Hole 3D, The",
into hell,"LOGLINE
 An elevated action thriller about an ex-soccer hooligan who is framed for a murder he didn't commit while attending the largest soccer match of the year in Istanbul. With the aid of his old hooligan gang, he must make his way to the airport by midnight while fighting through every gang in the city.

 
COMMENTS 
 I really enjoyed this script, BUT, full disclosure: I love british gangster pics; and this is like a cross between a brit gangster pic and Walter Hill’s the Warriors… something that they mention in the sales sheet, but having read it, I will attest that this is definitely in the same vein.   My enthusiasm aside, this is like a more violent version of Greene Street Hooligans; it’s not a standard, broad audience friendly action movie and will appeal more to genre heads than mainstream movie goers.  The plot veers into ludicrous, especially towards the end, but in terms of grit and action, its packed wall to wall.  Smarter than the average popcorn movie, but NOT for Lat Am (unless the cast and director are more mainstream), probably NOT for Indonesia… only would work in a place where action movies with heavy british accents would thrive.   Director and Cast are going to be essential; I imagined it in the vein of Bloody Sunday; but the choice of director would do a lot to help anticipate the style of the movie.  Good script; questionable commercial potential; wait and see until director and cast. 
 
SUMMARY 
JOE; a former soccer hooligan, has turned his life around by taking a job for a big corporation; his new lifestyle helps him pay for an elite private school for his young son, but Joe’s roots are never far from the surface.  When his boss TREVOR insists that join him at an All England Soccer match in order to woo an American client, (and sell him a crappy land deal) Joe is forced to drop everything, and also forced to abandon his principles and lie to the client.  On his way into the VIP suite, Joe is spotted by his former “firm” (a group of hooligans) called the REGIMENT. Their leader, RAY starts to incite a race riot during the England/ Turkey soccer match and the crowd starts boiling to a frenzy.  Meanwhile, a Turkish national gets killed and JOE, who happened to be in the bathroom, looks like the culprit, despite the fact that he was just trying to save the guys’ life.  JOE is forced to go on the run; and as the riot explodes, he has no place to turn but to run with his old boys… “you were the boy back in the day, but that was back in the day.” The authorities believe that Joe has returned to his life of crime. 
 
The firm is deep in enemy territory in Istanbul, and a huge, rival Turkish gang called the ULTRAASLANS are hunting for them.   Joe gets jumped and the other members of the Regiment quickly come to his defense; but the Ultra Aslans have an incredible numerical advantage.  Joe suggests the Regiment retreat to a train, where the small space will eliminate the numerical advantage.  The fight takes to the train and Joe starts beating the turks viciously; the hooligans call to him by his old fighting name, “grievous.” Joe realizes he has crossed back over the line into his old life. 
 
The Turkish police and Scotland yard are on Joe’s tail. They call his wife PENNY and tell her that Joe has murdered the Turkish Judge.  They put a tap on her phone. 
 
Joe and the hooligans hide out in a Four Seasons; but when Joe calls Penny, the tap goes to the police; and also to the Turkish Mafia who have an in with the force; the mafia dress like hotel waiters and burst in, brawling with the Regiment. The cops surround the place and fire rubber bullets at the hooligans. KARGAN, the crooked cop who killed the Turkish judge is there and Joe recognizes him. 
 
A female cop, SEDA, starts to think that Joe may be getting framed; he saves her life during a chase; he tells her that he remembers something the masked hitman said “gumus,” and she’s confused why the Turkish mafia would want to kill him. 
 
Kargan hires another Turkish gang; the MECHANICS to kill Joe. The Regiment hijack a boat and cross a river, heading towards Trevor’s private plane in a desperate attempt to get out of the city; but the mechanics attack as soon as they hit the shore. 
 
Another gang; the K2, also attack.  SEDA realizes that KARGAN is trying to kill JOE; “if you take him on, you better have some serious backup.” 
 
After fighting their way all through the city, Joe leads them to the private airstrip; but KARGAN and the other cops are already there.  The Regiment boys are screwed.  Joe wants to give up.  RAY calls him a quitter and blames him for abandoning the firm and ruining their cred and breaking their spirit when he quit years ago.  “We were your family!” 
 
SEDA gets to the bottom of the situation: she talks to the Attorney General; GUMUS was a mission to find out who from the police force was a turncoat for the Turkish mafia; KARGAN was the target and he killed the judge to protect his identity.  The AG tells SEDA to bring Joe in alive; as a witness. 
 
Joe, meanwhile, hatches one desperate, crazy plan: he gets ALL of the English Firms who came to town for the soccer match to team up and join them at the airport.  A huge riot is brewing, with Joe at the center. 
 
The Hooligans get the jump on the Turkish police, capture a few and don their uniforms in an ingenious ruse that helps them get past the enemy lines into the airport.  KARGAN catches JOE, RAY and the others just before they get onto the plane; He’s about to have his men kill Joe, but SEDA comes to the rescue, decking Kargan and getting JOE on record, fingering Kargan for the murder of the judge.   
 
JOE, RAY and the hooligans fly on the jet; Joe quits – calling Trevor a liar and telling the American investor that the British deal is bogus; The investor, EDDY, hires all of the hooligans to work for him in an unruly South American territory. “You have no idea what you’re getting into.” 
"
jack,"LOGLINE:
A doctor rehabilitates an ultimately falls for an amnesia-stricken victim unaware that he is actually a serial killer.


NEW COMMENTS:
There’s a new director attached and some elements of the script are reworked,  but the major elements, and major flaws of the old script remain, namely, there’s a real lack of suspense, and the inherent flaw is still there: The audience KNOWS that Jack is the killer; only the characters in the script are in the dark, which is the reverse of the normal convention for a reason – it takes away the audience’s suspense! Rather than being a thriller this plays more like a  psychological drama, and it seems accidental.   Anderson can make  
good movies, (THE MACHINIST) but he’s not a sure thing; and this one is looking more and more like a pass to me: (there have been multiple drafts, it’s a project they’ve been batting around for several years now, and the drafts aren’t getting significantly better in my estimation. All bad signs.


OLD COMMENTS:
This director made a pair of good, mainstream thrillers in the early nineties; THE GOOD SON, and SLEEPING WITH THE ENEMY; but its been quite a while since he’s made something strong, and this script could still do with another rewrite.  The pacing of the script is off; the first half unravels far too slowly, before the story picks up and gets exciting about 2/3 of the way through, but then wraps up everything too quickly at the end. Pacing issues aside, there is also a lack of suspense throughout most of the film, as the audience knows immediately that JACK is the killer, and it’s only the characters, rather than the audience, who are shrouded by mystery; (films tend to work better when the opposite is true, in my opinion).  Popcorn only, definitely broad and not a stylish enough thriller to draw euro audiences, it’s a wait and see at best.


The major difference I see so far is the elimination of one of the doctors, DR HENRY, which cuts out a love triangle that was in the earlier draft.


SUMMARY:
A KILLER attacks a woman outside of a 24 fitness; strangling her to death.  She is the fifth victim who has died under similar circumstances.  Detectives PETE and CHEEKS have been tracking the serial killer; and their superiors are getting frustrated with the lack of clues or progress in the case, but PETE insists that he is getting inside the killer’s mind.


After the most recent strangling, the killer crashes his car and gets taken into a trauma unit where a doctor saves his life; but when the killer wakes, he has completely lost his memory.


“Jack” as he becomes known, gets treated by a female doctor, MARIE, a specialist in memory; but the process is slow and frustrating. The situation is complicated further by the fact that Marie’s superior is also her former lover, DR. HENRY, and when he tries to get involved in treating Jack; Jack lashes out… sensing that Henry is an asshole.


Meanwhile, the cops get frustrated with the investigation and PETE gets kicked off the force after getting into an altercation with his superiour.  JACK and MARIE grow closer during the treatment, and she eventually hands his case over to a colleague and succumbs to her feelings; the two become lovers.


Despite no longer being a cop, PETE continues working the case, eventually finding a significant lead.  Comign to the realization that its likely something terrible happened to the killer; PETE finds Jack’s crashed car.


HENRY confronts JACK about his relationship with MARIE and the two get into a scuffle; JACK strangles HENRY to death and instantly his memories come flooding back; in a wave of nausea, Jack realizes that he’s a serial killer.


JACK tells Marie that he wants to discontinue their treatment and wants to start his life from scratch; he decides to get a new last name.  Henceforth onward he will be known as JACK NEWMAN.  Marie is touched.


Jack’s old life refuses to fade away that easily.  PETE shows up.   
PETE lies; says that he’s been hired by JACK’s sister, who is hoping to find her lost brother, and shows JACK a photo of DANA; one of Jack’s victims.  Jack feigns ignorance.


Jack starts to act more and more like his old self – and MARIE gets spooked when she sees him looking more fierce and dangerous.  JACK passionately grabs her and has sex with her; so forcefully that its borderline rape.


The new doctor on the case, DOCTOR SLOANE, detects brain activity and thinks she can tell that not only is Jack now faking his amnesia; he’s also quite possibly EVIL.  She warns MARIE and MARIE gets spooked when she finds hundreds of perverted photos of women on Jack’s computer.


PETE tells MARIE that he believes JACK is the killer; and despite the fact that she reacts brusquely and forces PETE to leave, Marie is affected.  She confronts JACK.  He doesn’t really confirm or deny it.


PETE confronts JACK; at gunpoint. PETE takes JACK to the woods; planning to kill him in the same fashion that Jack killed his victims.  JACK and PETE scuffle and JACK gets the upperhand; he  
chokes PETE and nearly kills him but lets him go at the last moment.   
JACK disappears .


Months later MARIE and PETE have moved on, but still a mysterious crowd hangs over their heads.  One night JACK shows up and terrifies Marie.  Marie, pregnant now, fights back, stabbing Jack and badly wounding him. Jack wanders into the woods and gets eaten by wolves.

"
"Open Road, the",
"Rabbit Hole, THe",
Shotgun Wedding,"LOGLINE
A renowned wild guy shocks his friends by announcing he’s marrying a girl he’s only known for four months; they all come down for a wild wedding party weekend, and clash with her conservative family. 

COMMENTS 
Funny, like, I’d watch it on DVD because it’s mindless funny, but not something I’d recommend.  Would be good for popcorn in Middle East, but not really much else.  Definitely not arthouse.  Writer is behind such Americana as SUPERTROOPERS, DUKES OF HAZARD, CLUB DREAD and BEERFEST.  DVD value is American comedies work. 

In terms of the story, the characters are somewhat loveable, with a better than average feel to them, after about 50 pages you get to know them and the script is consistently amusing while never being laugh out loud funny. Plays like a neutered WEDDING CRASHERS.  

SUMMARY
PETE and NICK go out for a wild night in AUSTIN TEXAS; PETE meets a hot girl named KATE and the two hit it off and wind up sleeping together; NICK, on the other hand, fails miserably and gets blown off by Kate’s friend. 

Four Months later, PETE’s friends are all shocked by the news that he’s getting married. SAM and his overbearing wife ASHLEY are intrigued, “I have no idea who she is!”  ALEX, the gay republican congressional aide takes a vacation; a NICK hops a plane from LA to be with his buddy.  CECILIA, recently divorced, seems reluctant to attend.  “6 hour flight and five hour drive to watch Pete rush into a doomed marriage.” 

On the plane, NICK gets wasted and hits on the hot girl next to him; LESLIE.  He winds up kissing her, lying to her that he’s a writer for 24, and accidentally pissing his pants after she gives him a Xanex.  

They all meet up for a rehearsal dinner; PETE explains that his fiancé’s parents are really “old fashioned” and wont like any stories about his wild past, so he forces all his friends to give really boring speeches. 

NICK scores weed at the rehearsal dinner and he, PETE and the others get stoned.  COPS see them and arrest them. MR. FOSTER (Kate’s dad) is LIVID. ALEX pulls strings to get the charges dropped. 

The guys keep the party going after getting out, stealing booze from the hotel lobby bar and partying in their rooms. CECILIA winds up making out with some Southern guys, but the trouble is, she doesn’t know whether she was making out with LAIRD or TAYLOR. 

On wedding day, all the guys and girls split up for boat rides; DERRICK, KATE’S little brother, gets a hook stuck in his foot, so NICK gives him some weed as a painkiller and everyone on the boat gets wasted.  MR FOSTER is even more pissed off.  At the wedding, he glares fiercely at PETE, unhappy about the marriage. To make matters worse, everyone assumes KATE is pregnant, despite her insistence that she’s not. 

At the reception, KATE’s ex BOBBY shows up. (Taylor and Laird’s brother). PETE finds out that BOBBY and KATE had been engaged till a four months ago, which Pete calls, “a little whorey” and the entire party nearly turns into a brawl.  KATE’s parents whisk her away to their house where she is put on lockdown, while everyone else goes back and keeps partying, despite the fact that it’s “a little fucked up.” 

BOBBY shows up the party and has sex with ALEX, CECILIA nearly has a threesome with LAIRD and TAYLOR, and NICK and PETE engineer a jailbreak plan for KATE; 
Eventually, NICK gets drunk with MR FOSTER and smoothes everything over.  PETE and KATE admit to everyone that she really is pregnant.  Happy. Ever. After. The end. 
"
Triple Dog,
burning man,"FILMBOX 

TITLE: Burning Man 
DIRECTOR: Jonathan Teplitzky
WRITER: Jonathan Teplitzky
CAST: Matthew Goode
SUB BY: Cedric Jeanson
GENRE: Drama 
STATUS: Casting
READER: Steven Murphy

LOGLINE

A hot shot chef struggles to hold things together after the untimely death of his wife. 

COMMENTS 

 Well written, but DEPRESSING, the main character is a huge asshole in the beginning, and you realize that its because he's a widower. I just dont see an audience caring about him / or wanting to go watch the film.  Not to say its without merit. it's well written. 


SUMMARY  (from Filmbox) 

Tom is a man behaving badly. Apparently arrogant and selfish, he's involved with an unfeasible number of women in ways that we don't necessarily like. And he's neglecting his eight year old son, and his colleagues in the chic Sydney restaurant where he's the principal chef. 

Karen may be his ex-wife. She certainly plays that part at first. Always on Tom's case to face up to his responsibilities to his son, Oscar, and forced to conclude the boy will have to be taken from him. 

Sally is Tom's partner in the restaurant.  Everything they've built together is threatened by his reckless neglect. 

Miriam is a psychotherapist.  Perhaps Tom's.  Except he's having sex with her – a thrilling but dysfunctional affair firmly at odds with any professional relationship they may or may not be having. 

Lisa is a happily married woman. He sleeps with her but accuses her of feeding on his pain.  Carol was supposed to be selling Tom's house but now she's fucking him in a curly wig.  Marti just fucks him in a car.  Lesley is a prostitute. At least Tom knows the rules of that relationship.

There's a blind man, a car crash, a burning man screaming down the street towards us …… 


Tom wasn’t always like this.  One blissful day ten years ago he met Sarah.  She was perfect. Beautiful and sexy but so much more.  He was on the brink of success but the driven, brutal ambitious exterior concealed a man unsure of himself.  She inspired him. Blessed him and the food he cooked. Made him everything he was, gave him his wonderful Oscar. 

But the universe is an unkind place.  It gives and it takes away.  Watching Sarah die was more than any man should have to take. And now Tom is a man fearing that without her he will be nothing. A man seeing how far he must push the universe before it gives him an answer that makes sense.  

All the women in his world are trying in their own way to help put him back together. If grief is the price we pay for love, then Tom and his son must learn it's better to have experienced both than neither. 


"
Arcadia Lost,
"All of It, THE","LOGLINE
A priest in 1980s rural Ireland confronts his views on forgiveness, morality and his own secret guilt after hearing a shocking confession from a devout elderly couple. 

COMMENTS
This is one of those scripts I enjoyed and would watch onscreen, but I'm not sure that it has an obvious selling point or large demographic. Still, one must applaud the fact that the writer has succeeded in making the normally unpalatable subject of incest into something sympathetic and forgivable. The result is an achingly sweet love story (mostly platonic) and a tale of redemption from the burden born by good people who still have human flaws they believe they should be able to overcome. The intimate isolated setting and well-intended characters lend a cozy nostalgic atmosphere that seems distanced from the turmoil of the real world and the problems haunting Declan and Enda.   One point that didn't seem true to character was Father Declan's immediate condemnation of Enda and Kevin's relationship, although he was carrying his own guilty secret. There may have been an opportunity there to add another layer to their dynamic -- perhaps Declan secretly admired Enda and the revelation of her secret offended and hurt him personally. It also seems a shame that there wasn't a bit more closure to Father Declan's catastrophic incident when Enda's was so satisfactory. I felt the closure of his unfair judgment of Enda and Kevin's relationship, but not that of his own tragic past as much. The convivial wake scene towards the end felt a bit drawn out with several natural ending points that were strung out together, but after a tale of such woe it seems understandable to want several happy endings.  And from such tragic circumstances, the writer does manage to steer the story into an uplifting one about community and acceptance without being soppy or overly sentimental. There's a nice message here about forgiveness coming from those you love being just as valuable, if not more, than that of the church. Worth a read, at least; however, subject matter is not suited for a pre-buy

SUMMARY
The priest has known an elderly couple in his congregation for a long time and they're very dependable and devout. When the husband dies, he confesses the woman is not his wife and begs the priest to never desert her, no matter what truth is revealed. The priest promises but then learns from the 'wife' that they are not only unmarried, but brother and sister although it is a platonic relationship. When they were children, they had an extremely abusive father who took his anger at the children's mother (who deserted them for another man) out on them by working them relentlessly. Then in a fit of madness after news reaches them that the mother has died, he begins locking the children up in the mother's old room while he goes out drinking. The brother and sister support each other's morale, but when their father doesn't return for several days in the freezing winter, under the haze of hunger, cold and fear they become intimate. The incident never occurs again but the sister becomes pregnant. They run away together and the sister, now an old woman, tells the priest of how they did honest work to be able to find a place to start over, especially after she miscarried the child. 

Terrified of ever revealing the truth in their new town where they were now comfortably settled, they continued to live as man and wife although they slept separately, guilty of their one sin in their youth. The priest admits his own secret he has been bearing in silent guilt -- he heard a confession from an IRA bomb maker whose work had recently taken the lives of a school bus of children. The priest absolved him but was later taken in for interrogation by masked men who demanded to know who the bomb maker was. Because the confession can be revealed to no one but God, the priest refused to tell until they began torturing him. Once they broke both his legs, he admitted who the bomb maker was and learned later that the bomb maker, his wife and three children were all murdered because of his disclosure. 

Once the woman and the priest learn these secrets of one another, they begin the road to forgiving each other and themselves.
"
"Chase, The",
