"The Hole 3D","EFM: Sat 13, 11:00 & 17:00 @Post Factory","Joe Dante","Chris Massoglia, Haley Bennett, Nathan Gamble, Teri Polo","After his mother moves the family to a new neighborhood, Dany Payton stumbles upon a mysterious hole in the basement of their new house with nieghbor Julie Campbell and his younger brother Lucas.","FR 700kSCAN 400K","FR, SCAN","Affinity","Supernatural Thriller","","",""
"Open Road, the","Completed","Michael Meredith (W/D)","Justin Timberlake, Jeff Bridges, Kate Mara","A father and son, both baseball players, repair their relationship while on a road trip. (saw footage and not at all encouraged or impressed. Cast is great but the film is a family re-uniting road movie. I think it is a wait and see for Toronto - SW)","SW 25K (vid only)","SW, OZ (?)  ","Affinity","Dramedy","","",""
"The Rabbit Hole","Post Production, Showing footage:Friday Feb 12th, 10am, 12pm, 3pm, 5pm @Park Plaza Hotel,  Wallstrasse 23-24","John Cameron Mitchell","Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard","Chronicles the lives of a happily married couple who struggle with grief following the tragic loss of their young son as they try to find their way in a life that has been forever changed","BLX: 300KFR: 700KIT: 700KSW: 125KSCAN: 400kAUS: 650kPORT: 150KINDO: 60KLAT: 640 totalUK 900KME: 200K","BLX, SW, SCAN, LA ex Br, Arg,Par,Ur, INDO, ME, UK, OZ","Affinity","Drama","","",""
"Shotgun Wedding","Pre Production/ 15M","Jay Chandreshkar","Possible: Sean Williams Scott. Offer out to Amy Ferris","Pete Hill, 30, is an avowed bachelor who is philosophically against the institution of marriage - 1000 print US release guarantee (MW)","BLX 400FR 800IT 1MSW nop - GER 1.2M SCAN - 400KLA 900PORT 150INDO 100ME - gulf / jaguar","BLX, FR, IT,  SCAN, LA, INDO, PORT, UK, OZ","Affinity","Comedy","","",""
"Triple Dog","Complete (video)","Pascal Franchot ","Brittany Robertson (Mother & Child, Cherry, WB’s Life Unexpected –lead);  Scout Taylor-Compton (Love Ranch, The Runaways, An American Crime); Julie Maxwell (Death & Life of Charlie St. Cloud, Hot Tub Time Machine) ","The story follows a group of teenage girls on the night of a sleepover as they venture out, led by the ringleader Chapin, in a competitive game of challenging dares. As the antics escalate, and the dares become more extreme, the girls unravel the truth behind a former student's rumored suicide. ","LA 100k (all rights)","BLX, FR, IT, SCAN, LA, INDO, PORT, UK","Affinity","Thriller","","",""
"14 Blades","Market:Sun, 14th Feb, 11:30am, CinemaxX 13Wed, 17th Feb, 11:00am, CinemaxX 15","Daniel Lee","Donnie Yen, Wei Zhao, Chun Wu","During the Ming Dynasty, the Emperor of China possessed one weapon greater than all others, the Jinyiwei, an elite force of assassins recruited from street orphans.Trained in clandestine combat from childhood, the Jinyiwei were masters of the 14 Blades, eight being for torture, five for killing, and the last blade being reserved for suicide when a mission failed. Above the law, with a license to kill, the Jinyiwei devoted their lives and lethal prowess to the service of the Emperor alone.","IT 250kSCAN 200kPORT 30k","IT, SCAN, PORT","Arclight/Eastern","Action","","",""
"The All of It","Pre Production","Gillian Armstrong","Liam Neeson, Ciaran Hinds","The story begins on a rainy morning as Father Declan Loughry (Neeson) ponders the recent deathbed confession of one of his parishioners. Kevin Dennehy and his wife, Enda, have been sweetly living a lie for some 50 years, a lie the full extent of which Father Declan learns only when Enda finally confides ""the all of it."" Her tale of suffering mesmerizes the priest, who recognizes that it is also a tale of sin and scandal, a transgression he cannot ignore. However, as Declan hears the heartbreaking truth behind Kevin and Enda’s union he is forced to question his own convictions. Not only must he learn to forgive the unforgivable, but on that journey of discovery, he must also confront his own buried sins and face the toughest challenge of all, forgiving himself. The resolution of his dilemma is a triumph of strength and compassion.","BLX: 250KFR: 500KIT: 400KSCAN: 350KINDO: 30KPORT: 60KA/N: 300KME: 75KUK 1MOZ 300k","BLX, FR, IT, SW, SCAN, INDO, PORT, ME x output, UK, OZ","Arclight","","","",""
"Altitude","Post Production","Kaare Andrews","Jessica Lowndes, Julianna Guill, Ryan Donowho, Jake Weary, Landon Liboiron","Lost in a mysterious cloudbank, a rookie pilot and her four teenage friends must contend with a freak mechanical failure that first sends their small plane climbing to an impossible height, and then plummeting through endless mist.  After regaining control, the survivors are confronted with a horrifying realization - the very ground beneath them has vanished and a malevolent force lurking in the clouds wants them dead.","BLX 150kFR 350kIT 250kSCAN 150kUK 500kOZ 150k","BLX, FR, IT, SW, SCAN, UK, OZ","Arclight/Darclight","Thriller","","",""
"Bait 3D","Pre Production","Russell Mulcahey","","A town gets flooded by a massive tsunami which then infests the town with sharks","FR 1MSCAN 450kUK 1.5M","FR, SW, SCAN, UK","Arclight/Darclight","Action / 3D","","",""
"Bad Blood","Market:Thu, 11th Feb, 1:00pm, CinemaxX 13","Dennis Law (W/D)","Simon Yam, Bernice Liu, Andy On, Lu Xia Jiang, Wai Man Chan, Siu Fai Cheung, Kenneth Low, Pinky Cheung, Xin Xin Xiong, Lok Yi Lai, Amy Chum"," When the boss of a ruling Hong Kong triad is arrested and executed in China for counterfeiting money, mayhem ensues as the mob's leading contenders circle the throne. ","IT 750kSCAN 50kPORT 25kME 40kUK 200kOZ 50k","IT, SCAN, LA, PORT,   ME x output, UK, OZ","Arclight/Eastern","Action","","",""
"The Chase","Pre Production","John McTiernan","","Expat American getaway driver SCALPEL is the best in the business. A former test driver for Lamborghini, behind the wheel he can slice through the streets with surgical precision, a skill that's tested to the limit when he signs up for a heist that goes awry. - maybe good for video for SCANDI (MW)","FR 1.5MIT 1.2MUK 2.2MOZ 0","FR, IT, SW, UK, OZ","Arclight","Action","","",""
"Courier","Pre Production","Hany Abu-Assad ","Jeffrey Dean Morgan in negotiation","A daredeveil courier, the one man who's never missed a drop, takes on a delivery to the King of the Underworld, the one who's never been found.","FR: 1.5M IT: 1.3MUK 1.5MOZ 400k","FR, IT, SW, UK, OZ","Arclight","Action","","",""
"Criminal Empire for Dummy's","Pre Production/10M","Cliff Dorfman (W/D)","Gary Oldman (THE DARK KNIGHT, JFK, DRACULA), Rachel Bilson (JUMPER, THE OC), Travis Fimmel with Harvey Keitel (RESERVOIR DOGS, BAD LIEUTENANT, TAXI DRIVER) and Michael Clarke Duncan (SPIDER MAN, SIN CITY)","Lesson One – If you are going to be a gangster you are going to get caught. Not a matter of it, just a matter of when. - wait to see something (MW)","BLX: 400KFR; 750KIT: 750KSW: 75KSCAN: 500KLA: 750KPORT: 100KME: 150KUK 800kOZ 450k","BLX, FR, IT, SW, SCAN, PORT, ME, UK, OZ","Arclight","Thriller","","",""
"A Few Best Men","Pre Production","","","When orphan DAVID asks his motley trio of best friends, TOM, LUKE and GRAHAM, to be his groomsmen, his fiancée MIA is terrified the buffoons will jeopardize her wedding; but with no other family to support him on the big day, she reluctantly agrees. The boys in turn are none too happy about their best friend growing up, or about celebrating the event on a goat farm in Australia, owned by Mia's parents.","BLX 400kFR 1MIT 900kSW 200kSCAN 650kINDO 30kPORT 150 KME 100kUK 2MOZ 2M","BLX, FR, IT, SW, SCAN, INDO, LA, PORT ,ME, UK","Arclight","Comedy","","",""
"Future X-Cops","Post Production","Jin Wong (W/D)","Andy Lau, Jiao Xu, Barbie Hsu, BingBing Fan, Mike Ho, Louis Fan, Blackie Chen"," In the future, scientist DR MASTERSON averts an energy crisis that threatens the existence of mankind by developing a solar substitute. In doing so he unleashes the wrath of a ruthless oil cartel who dispatch a team of half human, half machine hit men to assassinate him.  ","BLX 150kFR 500kIT 200kSCAN 300kPORT 60kUK 600kOZ 0","BLX, FR, IT, SW, SCAN, LA, PORT, UK, OZ","Arclight/Eastern","SciFi Action","","",""
"The Loved Ones","Market:Fri, 12th Feb, 11:00am, CinemaxX 13","Sean Byrne (W/D)","","BRENT (Xavier Samuel) has never really recovered from the night of his car crash. It's the crash that killed his father, the crash that he was responsible for, and his only solace is his loving girlfriend HOLLY (Victoria Thaine).","UK - OptimumBLX 200kIT 300kSCAN 200kINDO 30kPORT 40kME 50k","BLX, IT, SW, SCAN, LA, INDO, PORT, ME","Arclight","Teen Horror","","",""
"Mulan in 3D","Pre Production","Chuck Russell ","Zhang Ziyi as Mulan","Fiery Han tomboy MULAN (Zhang Ziyi) would rather fight than cook or sew thanks to her father, an accomplished martial artist, but when she meets ZIHAO she falls head over heels in love, unaware that he is of the neighboring Xianbei people, sworn enemies of the Han.","BLX 500kFR 2.5MIT 1MSCAN 500kPORT 250kME 400kUK 2.5MOZ 750k","BLX, FR, IT, SW, SCAN, PORT, LA, ME, UK, OZ","Arclight/Eastern","Epic Action","","",""
"Red Hill (Panorama)","Market:Sun, 14th Feb, 9:30pm, Zoo Palast 1Mon, 15th Feb, 1:00pm, CinemaxX 7Tue, 16th Feb, 2:30pm, Cubix 9Sat, 20th Feb, 9:30pm, Zoo Palast 1","Patrick Hughes","Ryan Kwanten (TRUE BLOOD), Steve Bisley (MAD MAX), Tom E. Lewis (THE PROPOSITION, THE CHANT OF JIMMY BLACKSMITH) Claire Van Der Boom (BAND OF BROTHERS)","Young police officer SHANE COOPER (Ryan Kwanten) relocates to the small country town of Red Hill with his pregnant wife ALICE (Claire van der Boom) to start a family. But when news of a prison break sends the local law enforcement officers - led by the town's ruling presence, OLD BILL (Steve Bisley) - into a panic, Shane's first day on duty rapidly turns into a nightmare.","BLX 150kFR 250kIT 200kSCAN 25kINDO 15kPORT 15kME 40kUK 150kOZ 15k","BLX, FR, IT, SW, SCAN, INDO, PORT, LA, ME, UK, OZ","Arclight","Action","","",""
"Shadows","Post Production","John Penney (W/D)","William Hurt, Cary Elwes, Ploy Jindachot, Paula Taylor","The story of a young American businessman, caught in the Shadow World between life and death after losing his wife and son in a horrible accident, who seeks reunite his spirit and body or risk losing his life","BLX 100kFR 300kIT 250kSCAN 100kINDO 50kUK 600kOZ 0","BLX, FR, IT, SW, SCAN, LA, INDO, UK, OZ","Arclight/Darclight","Supernatural Thriller","","",""
"Stolen Lives","Thurs 11/5, 9:00am @ Fairmont 1Fri 11/6, 9:00am @ Fairmont 5","Andres Anderson","Josh Lucas, Jon Hamm, Rhona Mitra, James Van Der Beek","Work has become an obsession for Detective TOM ADKINS (Jon Hamm) since the disappearance of his 10-year-old son, TOMMY JR. When an early morning phone call leads him to the mangled remains of a young boy who was brutally murdered 50 years ago, Adkins takes on the case in hopes of finding absolution.","IT 150kSCAN 75kINDO 15kUK 250k","BLX, FR, IT, SW, SCAN,  INDO, UK","Arclight","Thriller","","",""
"Unrequited","Post Production","Jason Epperson","Michael Welch (THE TWILIGHT SAGA: NEW MOON), Sarah Habel (WHIP IT!), David Keith, Clare Carey, Justin Boldoni","UNREQUITED tells the story of BEN JACOBS (Michale Welch), a troubled young man who, on his 18th birthday, must leave the group home for ""troubled teens"", where he has been living for the past several months.","BLX 75kFR 100kIT 100kSCAN 75kINDO 15kPORT 15kME 30kUK 200kOZ 30k","BLX, FR, IT, SW, SCAN, INDO, PORT, LA, ME, UK, OZ","Arclight/Darclight","Thriller","","",""
"The Wild Hunt","Market:Thu, 11th Feb, 11:00am, CineStar6Sun, 14th Feb, 10:50am, CineStar 6","Alexandre Franchi","Mark A Krupa, Ricky Mabe, Kaniehtiio Horn, Trevor Hayes, Nicolas Wright, Terry Simpson","In a dark forest a battle rages between the power-hungry Celts, the rampaging Vikings, the secretive wood elves and a mysterious shaman. But in the heat of battle, disaster strikes... someone breaks character, the one unforgivable transgression in this elaborate game of make believe.","BLX 60kFR 75kIT 75kSCAN 50kINDO 10kPORT 25kME 40kUK 100kOZ 75k","BLX, FR, IT, SW, SCAN,  INDO, PORT, ME, UK, OZ","Arclight","Thriller","","",""
"Zebras","Pre Production","Bruce Beresford","","While scouting for musical talent in Soweto, music producer PAUL discovers talent of another kind. A former star striker himself, upon encountering the brilliance of young soccer players in the ghetto, Paul's inspired to form a team dubbed ""the zebras"" that brings together black and white players.","","CHECK","Arclight","Drama","","",""
"Balefire","Production in 2010","Scott Man","","A sleepy Californian town isn rocked by a series of seemingly random kilings, but the investigating detective realizes the murders are meticulously planned and the work of a single, deadly assassin who is creating chaos to distract the police and make hte frightened people vulnerable to a much bigger and more horrific attack","pricing in cannes  - let me know if specific interest I can get before","BLX, FR, IT, SCAN, LA, INDO, PORT, ME, UK, AUS           ","AV Pics","","","",""
"Comedown","Pre Production","Menhaj Huda",":Martin COMPSTON, Geoff BELL","Six teenage hooligans setting up the transmitter for a local pirate radio station at the top of an abandoned and decaying tower block, are targeted by a resident phychopath intent on exterminating the 'vermin' he perceives are besieging his home.","","BLX, FR, IT, SCAN, LA, INDO, PORT, ME, AUS ","AV Pics","Horror","","",""
"Freight","Market:Sunday 14th Feb at 5.30 pm – CinemaxX 18Tuesday 16th Feb at 09.30 am – CinemaxX 18","Stuart St. Paul","Bill Murray, Craig Fairbrass, Danny Midwinter","An illegal Russian gang led by the ruthless Cristi are taking over the city, trafficking Eastern Europeans into the UK, then enslaving them - the women to sex clubs, the men to illegal cage fights.","pricing in cannes  - let me know if specific interest I can get before","FR, IT, SCAN (excl. DVD & VOD), LA, INDO, PORT","AV Pics","","","",""
"Gladiators V Werewolves","Pre Production","Rob Green (W/D)","","Gladiators and werewolves fight to the death in the arena; the greatest fighters of ancient Rome and a ferocious tribe of captured lupine warriors clash in blood and thunder battles for the entertainment of the crowds","pricing in cannes  - let me know if specific interest I can get before","BLX, FR, IT, SCAN, LA, PORT ","AV Pics","","","",""
"Obsession","In Devleopment","Thaddeus Osullivan","TBD","A possessive Manhattan doctor takes his trophy wife's lover hostage, then sets about tormenting his captive into believing he has murder in mind.","","BLX, FR IT, SCAN, LA, INDO, PORT, ME, UK, AUS ","AV Pics","Thriller","","",""
"Primal","Market Premiere:Sat 13 - 5.30 pm @MGB KinosaalMon 15 - 7.30 pm @Marriott 1","Josh Reed (W/D)","Krew Boylan,Zoe Tuckwell-Smith,Wil Traval, Lindsay Farris","Anja and four friends join anthropology student, Dace, on a journey to study a remote, ancient rock painting.  Their excitement vanishes when Mel becomes delirious after skinny-dipping in the waterhole.  Feverish, bleeding, confused, she physically and mentally regresses to a vicious and predatory state.  Mel has gone primal…!!","","BLX, FR IT, SCAN, LA, INDO, PORT, ME, UK, AUS ","AV Pics","Horror","","",""
"Shank","Post Production","Mo Ali","ADAM DEACON and KAYA SCODELARIO","It’s the near future and the streets of London throb with menace.  Gangs scavenge and fight for food – the hottest commodity - and life is cheap.","","New - Check","AV Pics","Horror Thriller","","",""
"Borderline","Production, ready for Cannes 2010","Alexandre Coffre","Francois Damiens, Pascale Arbillot, Gilles Cohen","Forty-five year old David Pelame is married to Christine. Together they have two lovely children and live in a perfect house in a well off suburban neighborhood. David is reasonable, honest, hardworking lawyer thought not the brilliant partner in the high profile firm he set out to be. On New Years Eve, he discovers a suitcase filled with cocaine and a phone ringing non-stop with calls from eager clients. David thinks he has found the solution to his life problems.","","CHECK: BLX, IT, SW, SCAN, LA, INDO, PORT, ME, UK","BAC","Comedy Drama","","",""
"Devil's Rain","Completed","Philippe Cosson","","In Laos , nature is beautiful and seems peaceful. No one can imagine the violence that hides here, lurking in the grass. Even though, from time to time, an explosion can be heard in the distance, it’s almost absorbed, like choked in so much beauty and serenity. It happened in the Savannakhet region, 500 kilometres south from Vientiane , Laos ’ capital city. A child just died handling a cluster bomb. Who killed this child?","","CHECK: IT, SCAN, LA, INDO, PORT, ME","BAC","Doc","","",""
"Hidden Diary aka The Kitchen","Complete","Julie Lopes-Curval","Catherine Deneuve, Marian Hands, Marie-Josee Croze, Michel Duchaussoy","While visiting her parents for the holidays in France, Audrey discovers her grandmother's hidden story, a woman who gave up her home and family in the fifties and never came back. Audrey will try to know more about it and this investigation will force her own mother to reveal a secret deeply buried","","CHECK: SCAN, UK","BAC","Drama Comedy","","",""
"Living On Love Alone","Post, Promo in Berlin","Isabelle Czajka","Anais Demoustier, Pio Marmai","July, 23 years old, graduated, doesn’t want a casual job anymore. She's looking for a real job. During a interview she wil meet Ben who chose to live day to day on his wits and make small time business. He will suggest she comes with him a spend the summer in the South of France.","","CHECK: BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK","BAC","Drama","","",""
"Round da Way (Les Lascars)","Complete, Screened in Cannes 09","Albert P. Lazaro, Emmanuel Klotz","voices: Vincent Cassel, Diane Kruger, Omar et Fred","1st draft script read by cineart; based on UK animated show Homies .  Hoping for Cannes 2009.  They are sending a script.  Since it can be dubbed into whatever langiage it could work depending on whether people are familiar with the series. (English language script coming soon. story based on UK MTV animated series called ""Homies"" They think this is going to be huge and are planning a big event to launch in Cannes 2009. BAC has already received interest from McDonald's to do tie in promos. Film can obviously be dubbed into any languane using local celeb voices - SW)","","CHECK: IT, SCAN, LA x BR, INDO, PORT, ME","BAC","Animation (based on a TV serie)","","",""
"The Sandman and the Lost Sand of Dream","Post, Promo in Berlin","Jesper Moller, Sinem Sakagolu","","  Up above, next to the moon, is a land called Somnia. This is the dreamland where all our dreams live on once we wake up. It’s also the home of the Sandman, who brings us the sweetest dreams night after night.But Somnia is in danger. The nightmares have banded together and planed to take over this cheerful land.","","CHECK: BLX, IT, LA, INDO, PORT, ME, UK","BAC","Stop Motion Animation / Children 4-8","","",""
"Accidents Happen","Completed","Andrew Lancaster","Geena Davis, Joel Tobeck, Harrison Gilbertson, Harry Cook, Sebastian Gregory","15 year old Billy Conway believes that the world is a dangerous place and that accidents can happen at any time. His strongly held belief is based on bitter experience - from a very young age Billy has found himself inexplicably drawn to extremes of injury and misadventure. Billy's story is the surprising tale of how a good boy's bad behavior might just manage to save his very dysfunctional family.Tribeca","BLX: 140FR: 500IT: 500SW: 75","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK","Bankside Films","Black Comedy","","",""
"Blessed","Completed","Ana Kokkinos","Frances O'Connor, Mirando Otto, Deborra-Lee Furness, Victoria Haralabidou","Seven children wander the streets in an urban odyssey through a day and a night. Not all of them will find their way home. Dawn breaks and it's the same day, but now we experience the journey from the mothers' point of view. ","BLX 50K euroFR: 400K euroIT: 400K euroSW: 35K euro","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK","Bankside Films","Drama","","",""
"Bran Nue Dae","EFM: Fri 12 - 15.30 @CINEMAXX 10Generation 14plus: Sat 13 - 17.00 @BABYLON BERLIN MITTE (official)Sun 14 - 16.30 @CINEMAXX 3 (official)Mon 15 - 09.00 @BABYLON BERLIN MITTE (Official)         ","Rachel Perkins","Geoffrey Rush, Jessica Mauboy, Missy Higgins, Tom Budge, Dan Sultan, Ningali Lawford","When Willie, a teenage Aboriginal boy, runs away from his oppressively religious boarding school, he finds himslef scared and alone facing an epic journey across Australia in order to find his way home. (based on a successful Australian stage play, with music influenced by Indigenous music from Oz, casting possibly Geoffrey Rush, the other leads will be unknowns. coverage available, interesting, but bizarre, wait and see - SM)","BLX: 75K euroFR: 320K euroIT: 320K euroSW: 50K euro","BLX, FR, IT, SW, SCAN, LA, INDO, PORT,  UK","Bankside Films","Musical Romance","","",""
"The Caller","Promo in Berlin, In Post Production","Matthew Parkhill","Rachelle Lefevre, Stephen Moyer, Lorna Raver, Luis Guzman","When troubled divorcee, Mary Kee, sets up home in her new apartment she finds an antique telephone that she decides to use. She starts to get phone calls that become more and more disturbing. She tries to cut all contact, but the caller threatens to exact her terrible revenge.","","BLX, FR, IT, SW, SCAN,  INDO, PORT, UK, OZ","Bankside Films","Supernatural Thriller","","",""
"Coffin Rock (Seed)","Completed","Rupert Glasson","Lisa Chappell, Sam Parsonson, Robert Taylor","Evan ruins Jess and Rob's happy marriage by having an affair with Jess. What follows is the terrifying transformation of Evan whose progression from stalker to psychopath is fuelled by his unfailing determination to prove paternity of the child and claim Jess for his own.","BLX: 60FR: 200IT: 200SW: 25"," FR, IT, SW, SCAN, LA, INDO, PORT  ","Bankside Films","Psychological Horror","","",""
"The Door","Pre Production/ Script Available","Istvan Szabo","Helen Mirren","Magda, a female writer struggling for success, employs an elderly woman called Emerence to be herhousekeeper. From their first encounter, it is clear that Emerence is no ordinary maid. Although everyonein the neighbourhood knows and respects her, no one knows anything about her private life or has everbeen allowed to enter her home. However, a dramatic event in the writer's life prompts Emerence to unveilglimpses of her traumatic past - a past which sheds light on her very peculiar behaviour. ""","","BLX, FR, IT, SW, SCAN,  INDO, PORT,  UK, OZ","Bankside Films","Drama","","",""
"The Galapagos Affair","Pre Production/ Script Available","Andy De Emmony","Kristin Scott Thomas, Stellan Skarsgard","Based on a true story about the search for and subsequent destruction of an earthly paradise. Two lovers arrive on a beautiful, deserted island where they live their lives in pure bliss. The arrival of an unconventional, Swedish Baroness and her two male lovers, threatons to destroy their perfect world. This tale of sexual jealousy reaches a shocking conclusion when two of the islands inhabitants are found dead and two disappear without trace, leaving only one survivor","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Bankside Films","Sexual Thriller","","",""
"The Goodbye People","Pre Production/ Script Available","Ira Sachs","Anton Yelchin, Ben Foster, Damian Lewis, Patricia Clarkson, Michael Shannon, With further cast to be announced","Hollywood 1969.The end of an era. Following the discovery ofa brutal murder in a quiet house in the Hollywood Hills, the filmfocuses on the complicated relationship between Trevor Lewis,a British novelist trying to succeed as a Hollywood screenwriter;Susan Ross, a glamorous ex-model who is not sure whether shewants to live or die; and Gary Carson, a beautiful, young, strangerwho unexpectedly enters their lives but whose presence affectseach of them with considerable force.Who has been murdered? Who is the killer? How did the promiseof the 60s culminate in this? The Goodbye People is a dansemacabre which exquisitely conveys the last days of old Hollywoodand the lives of its desperate insiders.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Bankside Films","Film Noir","","",""
"Lou","In Post Production","Belinda Chayko","Lily Bell-Tindley, John Hurt, Emily Barclay","12 year old Lou's life is turned upside down when her estranged grandfather moves in to the family home bringing chaos with him, not least because he is suffering from Alzheimer's disease. In an unexpected turn of events, Lou begins to experience what it is to be loved for the first time in her life","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK","Bankside Films","Coming of Age","","",""
"Outcast","EFM: Thu 11 - 10.50 @CINEMAXX 1 &Sun 14 - 11.05 @ARSENAL 2 ","Colm McCarthy","James Nesbitt, Katie Dickie, James Cosmo, Niall Bruton, Hannah Stanbridge","When Mary and her teenage son, Fergal, move to yet another new home, it soon becomes clear that they live their lives on the run. Their hunter, Cathal, a dangerous and terrifying man, intent on tracking them down and killing them. What's more, he is using a dark form of magic to find them.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, OZ","Bankside Films","Supernatural Thriller","","",""
"Beloved Berlin Wall","EFM: Fri 13 - 14:40  @CineStar 1, Sun 14 -  11:30 @CineStar 5","Peter Timm (W/D)","Felicitas Woll, Maxim Mehmet, Thomas Thieme","Berlin, 1989. Sascha is a young East German border guard; Franzi a lively young WestGerman woman who’s just moved into a flat next to Sascha’s watchtower at the BerlinWall. It takes only a slight mishap and a selfless act of chivalry – and the two fall in love.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK","Bavaria","","","",""
"Deliver Us From Evil","EFM: Sun 14 - 14:40 @CineStar 1","Ole Bornedal","Lasse Rimmer, Lene Nystrom Rasted","Violence erupts in a small town when a drunken truck driver, Lars, runs over a local woman and pins the blame on the town's Bosnian refugee. When Lars' brother Johannes stands up for the man and gives him shelter, Lars and his friends head for Johannes' secluded house, armed with a shotgun...","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK","Bavaria","","","",""
"Friendship ","EFM premiere:Sat 13 - 12:30@CinemaxX 15Tue 16 - 09:15@CineStar 5","Markus Goller","Matthias Schweighöfer, Friedrich Mücke","","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Bavaria","Comedy","","",""
"Henry of Navarre (Berlin Special Gala - world premiere)","Special: Fri 12 - 18:15 @CinemaxX 9  (Press & Ind), Sat 13 - 21:00 @Friedrichstadtpalast  (Gala) EFM: Mon 15 - 14:30 @Cinestar 1 ","Jo Baier","Julien Boisselier, Joachim Krol, Armelle Deutsch","France in 1563. Protestants and Catholics are fighting for land and power, invoking their religion as justification. At the head of the Protestants stands Henry of Navarre, leading his men against Paris, against the Catholics, and against his mother's powerful rival: Catherine de Medici, Queen of France. ","","BLX, IT, SW, SCAN, LA, INDO, PORT, ME, UK","Bavaria","","","",""
